string_field_0,string_field_3,string_field_6,string_field_30,string_field_31,string_field_32,string_field_33,string_field_34,string_field_35,string_field_36,string_field_37,string_field_38,string_field_39,string_field_40,string_field_41,string_field_42,string_field_45
Other Asia,41310,Server Programmer,Java,,,,,,,C#,,,,,,"$20,000 - $40,000"
Russia,41435,Server Programmer,,,,,,,,C#,,,,,,"$20,000 - $40,000"
Netherlands,11,Server Programmer,,JavaScript,,PHP,,,SQL,,,,,,Delphi,"$20,000 - $40,000"
Other Europe,41310,Server Programmer,Java,,,,,,SQL,,,,,,,"$20,000 - $40,000"
Italy,11,Server Programmer,Java,,CSS,,,,,C#,C++,C,,,,"$20,000 - $40,000"
Other Europe,11,Server Programmer,Java,JavaScript,,PHP,Python,,SQL,,C++,C,,,,"$20,000 - $40,000"
Africa,11,Server Programmer,,JavaScript,CSS,PHP,Python,,SQL,,,,Perl,,,"$20,000 - $40,000"
United Kingdom,41310,Server Programmer,Java,,,,,,,,,,,,,"$20,000 - $40,000"
Other Asia,11,Server Programmer,Java,,,,,,,,,,,,,"$20,000 - $40,000"
Netherlands,11,Server Programmer,,JavaScript,,PHP,,,SQL,C#,C++,C,Perl,,,"$20,000 - $40,000"
Other Europe,41435,Server Programmer,,JavaScript,,,,,SQL,C#,,,,,,"$20,000 - $40,000"
United Kingdom,11,Server Programmer,,,,,,,SQL,,C++,C,,,,"$20,000 - $40,000"
United Kingdom,<2,Server Programmer,Java,,,,Python,,,C#,C++,,,,,"$20,000 - $40,000"
Other Europe,11,Server Programmer,,,,,,,,C#,,,,,,"$20,000 - $40,000"
Other Europe,11,Server Programmer,,JavaScript,,PHP,,,SQL,C#,C++,C,,,Objective C,"$20,000 - $40,000"
Other Asia,41435,Server Programmer,,,CSS,PHP,,,,,,C,,,,"$20,000 - $40,000"
Other Europe,41310,Server Programmer,,,,,,,,C#,C++,,,,,"$20,000 - $40,000"
Germany,41435,Server Programmer,Java,JavaScript,CSS,PHP,Python,,SQL,C#,C++,C,,,,"$20,000 - $40,000"
Italy,11,Server Programmer,Java,JavaScript,CSS,PHP,Python,,SQL,,C++,C,Perl,,,"$20,000 - $40,000"
Italy,41310,Server Programmer,Java,JavaScript,CSS,,,,SQL,,,,,,,"$20,000 - $40,000"
India,11,Server Programmer,Java,,,,,,,,,,,,,"$20,000 - $40,000"
Canada,11,Server Programmer,,,,,Python,Ruby,,,C++,C,,,,"$20,000 - $40,000"
Other Europe,41310,Server Programmer,,,,,,,SQL,C#,,,,,,"$20,000 - $40,000"
India,41435,Server Programmer,,,,,Python,,,,,C,,,,"$20,000 - $40,000"
Russia,41310,Server Programmer,,,,,,,,C#,C++,C,,,,"$20,000 - $40,000"
India,41435,Server Programmer,Java,,,,,,,,C++,C,Perl,,,"$20,000 - $40,000"
South America,41435,Server Programmer,Java,,,,,,,,,,,,,"$20,000 - $40,000"
South America,41310,Server Programmer,,,,,Python,Ruby,,,C++,C,,,shel scripting,"$20,000 - $40,000"
India,41435,Database Administrator,,,,,,,,C#,,,,,,"$20,000 - $40,000"
United Kingdom,41435,Database Administrator,,,,PHP,,,,,C++,,,,,"$20,000 - $40,000"
South America,41310,Database Administrator,,JavaScript,,,,,SQL,C#,,,,,,"$20,000 - $40,000"
United States of America,11,Database Administrator,,,CSS,,,,SQL,C#,C++,C,,,PL/SQL,"$20,000 - $40,000"
United Kingdom,41310,Database Administrator,,JavaScript,CSS,,,,SQL,,C++,C,,,,"$20,000 - $40,000"
France,41310,Web Application Developer,Java,,,,,,SQL,C#,,,,,,"$20,000 - $40,000"
Germany,11,Web Application Developer,Java,JavaScript,CSS,,Python,Ruby,SQL,C#,C++,C,,,,"$20,000 - $40,000"
Germany,41310,Web Application Developer,,JavaScript,CSS,,,,,,,,,,,"$20,000 - $40,000"
South America,41310,Web Application Developer,,JavaScript,,,,,,C#,,,,,,"$20,000 - $40,000"
United States of America,41310,Web Application Developer,,,,,Python,,SQL,,C++,,,,vb.net,"$20,000 - $40,000"
Other Europe,41310,Web Application Developer,,JavaScript,CSS,,,,SQL,,,,,,CFML,"$20,000 - $40,000"
Netherlands,<2,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,C#,,,,,coldfusion,"$20,000 - $40,000"
Germany,41310,Web Application Developer,,JavaScript,CSS,,Python,,,,,,Perl,,,"$20,000 - $40,000"
United States of America,41310,Web Application Developer,,,CSS,PHP,,,SQL,,,,,,,"$20,000 - $40,000"
Canada,41435,Web Application Developer,,,CSS,PHP,,,SQL,,,,,,ASP,"$20,000 - $40,000"
France,41310,Web Application Developer,Java,JavaScript,CSS,,,,SQL,C#,,,,,,"$20,000 - $40,000"
Netherlands,41310,Web Application Developer,Java,JavaScript,CSS,,,,SQL,,,,Perl,,,"$20,000 - $40,000"
Germany,11,Web Application Developer,,JavaScript,CSS,PHP,,Ruby,SQL,,,,,,,"$20,000 - $40,000"
Other Europe,41310,Web Application Developer,Java,,,,Python,,,,C++,,,,,"$20,000 - $40,000"
Other Europe,41435,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,"$20,000 - $40,000"
India,<2,Web Application Developer,,JavaScript,CSS,,,,,C#,,,,,,"$20,000 - $40,000"
Russia,41310,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,,,,Perl,,,"$20,000 - $40,000"
Other Europe,11,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,"$20,000 - $40,000"
Russia,41435,Web Application Developer,,JavaScript,CSS,,,,,C#,,,,,,"$20,000 - $40,000"
Netherlands,41435,Web Application Developer,Java,JavaScript,CSS,,,,SQL,C#,,,,,,"$20,000 - $40,000"
Other Asia,41435,Web Application Developer,Java,JavaScript,CSS,PHP,,,SQL,C#,,,Perl,,,"$20,000 - $40,000"
Other Asia,11,Web Application Developer,Java,,,,,,,C#,,,,,,"$20,000 - $40,000"
Netherlands,11,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,C#,,,,,,"$20,000 - $40,000"
South America,41435,Web Application Developer,Java,JavaScript,CSS,PHP,,,SQL,,,C,,,,"$20,000 - $40,000"
United States of America,41435,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,"$20,000 - $40,000"
Central America,41435,Web Application Developer,,JavaScript,CSS,,,,,,,,,,ActionScript,"$20,000 - $40,000"
Other Europe,41435,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,,,C,Perl,,,"$20,000 - $40,000"
Australasia,<2,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,"$20,000 - $40,000"
United Kingdom,41435,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,C#,,,,,,"$20,000 - $40,000"
Other Europe,<2,Web Application Developer,Java,,CSS,PHP,Python,,SQL,,C++,,,,,"$20,000 - $40,000"
United States of America,41310,Web Application Developer,,JavaScript,CSS,,Python,Ruby,,,,,,,,"$20,000 - $40,000"
South America,41435,Web Application Developer,Java,JavaScript,CSS,,,Ruby,SQL,,C++,C,,,"Adobe Flex, Delphi","$20,000 - $40,000"
Netherlands,41435,Web Application Developer,Java,JavaScript,CSS,PHP,,,SQL,C#,C++,C,,,,"$20,000 - $40,000"
South America,41435,Web Application Developer,,JavaScript,CSS,PHP,Python,Ruby,,,,,,,,"$20,000 - $40,000"
Middle East,41310,Web Application Developer,,JavaScript,CSS,,,,,,,,,,html,"$20,000 - $40,000"
Italy,41310,Web Application Developer,,JavaScript,CSS,PHP,Python,Ruby,SQL,,,,,,,"$20,000 - $40,000"
Mexico,41310,Web Application Developer,Java,,CSS,,,,SQL,,,,,,,"$20,000 - $40,000"
Other Europe,41310,Web Application Developer,,,CSS,,,,SQL,C#,,,,,,"$20,000 - $40,000"
Other Europe,11,Web Application Developer,Java,,CSS,PHP,,,SQL,,,,,,,"$20,000 - $40,000"
Mexico,41310,Web Application Developer,Java,JavaScript,CSS,,,,SQL,C#,,,,,,"$20,000 - $40,000"
Russia,41310,Web Application Developer,,,,,,,,C#,,,,,,"$20,000 - $40,000"
Other Europe,41435,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,HTML,"$20,000 - $40,000"
Germany,41435,Web Application Developer,Java,JavaScript,CSS,PHP,,Ruby,SQL,,,,,,,"$20,000 - $40,000"
Canada,41310,Web Application Developer,,JavaScript,CSS,,,,SQL,,,,,,VBScript,"$20,000 - $40,000"
Middle East,41310,Web Application Developer,,,CSS,PHP,,,,C#,C++,C,,,AS3,"$20,000 - $40,000"
Africa,41435,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,,,,,,,"$20,000 - $40,000"
Middle East,41435,Web Application Developer,Java,,CSS,,,,SQL,C#,,,,,,"$20,000 - $40,000"
United Kingdom,11,Web Application Developer,Java,JavaScript,CSS,PHP,,,,,,,,,,"$20,000 - $40,000"
Other Asia,41310,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,,,,,,ASP 3.0,"$20,000 - $40,000"
Other Europe,41310,Web Application Developer,Java,,CSS,,,,,,,,,,Groovy,"$20,000 - $40,000"
Middle East,<2,Web Application Developer,,JavaScript,CSS,,,,,,,,,,,"$20,000 - $40,000"
Middle East,41310,Web Application Developer,,JavaScript,CSS,PHP,Python,,,,,,,,,"$20,000 - $40,000"
United States of America,41310,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,,,,,,,"$20,000 - $40,000"
Other Europe,41310,Web Application Developer,,JavaScript,CSS,,,,,C#,,,,,,"$20,000 - $40,000"
Germany,41310,Web Application Developer,,,CSS,PHP,Python,Ruby,SQL,,,C,,,lisp,"$20,000 - $40,000"
Australia,41310,Web Application Developer,,JavaScript,CSS,PHP,Python,,SQL,,,C,Perl,,"Lisp, Haskell, Prolog","$20,000 - $40,000"
United States of America,41310,Web Application Developer,,JavaScript,CSS,PHP,Python,,SQL,,,,Perl,,,"$20,000 - $40,000"
Germany,41310,Web Application Developer,,,,,,,,C#,,,,,,"$20,000 - $40,000"
South America,41310,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,"$20,000 - $40,000"
Russia,41310,Web Application Developer,Java,JavaScript,,,Python,,SQL,,C++,,,,,"$20,000 - $40,000"
United States of America,41435,Web Application Developer,,JavaScript,CSS,PHP,,Ruby,SQL,C#,,,,,,"$20,000 - $40,000"
Other Europe,41310,Web Application Developer,,JavaScript,,,,,SQL,C#,,,,,,"$20,000 - $40,000"
United States of America,41310,Web Application Developer,Java,,,,Python,,,,,,,,,"$20,000 - $40,000"
France,41310,Web Application Developer,,JavaScript,CSS,PHP,,,,,,,,,,"$20,000 - $40,000"
South America,41310,Web Application Developer,,JavaScript,CSS,PHP,Python,,SQL,,,,,,,"$20,000 - $40,000"
Italy,41435,Web Application Developer,Java,JavaScript,CSS,PHP,,,SQL,C#,C++,C,,,,"$20,000 - $40,000"
United Kingdom,41435,Web Application Developer,,JavaScript,CSS,PHP,Python,,SQL,,,,,,vb.net,"$20,000 - $40,000"
Other Europe,41435,Web Application Developer,,,,,,,,C#,,,,,,"$20,000 - $40,000"
Other Europe,41435,Web Application Developer,Java,JavaScript,,PHP,,,SQL,C#,,,,,,"$20,000 - $40,000"
India,41310,Web Application Developer,,,,,,Ruby,,C#,,,,,,"$20,000 - $40,000"
Canada,41310,Web Application Developer,,,CSS,PHP,,,SQL,,,,,,,"$20,000 - $40,000"
United States of America,41310,Web Application Developer,Java,,CSS,PHP,,,,,,,,,,"$20,000 - $40,000"
Other Asia,41435,Web Application Developer,Java,JavaScript,CSS,PHP,Python,,SQL,,C++,C,,,,"$20,000 - $40,000"
Mexico,11,Web Application Developer,Java,JavaScript,,,,,SQL,,,,,,,"$20,000 - $40,000"
North America (Other),41435,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,"$20,000 - $40,000"
Other Europe,11,Web Application Developer,Java,,,,,,,,,,,,,"$20,000 - $40,000"
Middle East,11,Web Application Developer,,JavaScript,CSS,PHP,Python,,SQL,C#,C++,C,,,,"$20,000 - $40,000"
Other Europe,41310,Web Application Developer,,,,,,,SQL,C#,,,,,,"$20,000 - $40,000"
United Kingdom,41310,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,"$20,000 - $40,000"
Other Europe,41310,Web Application Developer,,JavaScript,,,,,SQL,C#,,,,,,"$20,000 - $40,000"
United Kingdom,41310,Web Application Developer,,JavaScript,CSS,,,,SQL,,,,,,VB.NET,"$20,000 - $40,000"
United Kingdom,41310,Web Application Developer,,,CSS,PHP,,,,,,,,,"JavaScript (incl. jQuery), HTML","$20,000 - $40,000"
United Kingdom,41310,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,"$20,000 - $40,000"
United Kingdom,41310,Web Application Developer,Java,JavaScript,CSS,,,,,,,,,,,"$20,000 - $40,000"
Other Asia,41310,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,VB,"$20,000 - $40,000"
Other Europe,41435,Web Application Developer,Java,JavaScript,CSS,PHP,,,SQL,C#,,,,,,"$20,000 - $40,000"
Italy,11,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,C#,,,,,,"$20,000 - $40,000"
Other Europe,41310,Web Application Developer,Java,JavaScript,CSS,,,,SQL,C#,,,,,anything,"$20,000 - $40,000"
Other Europe,11,Web Application Developer,Java,JavaScript,,,,Ruby,SQL,,,,,,,"$20,000 - $40,000"
India,11,Web Application Developer,,JavaScript,CSS,PHP,,,,,,,,,,"$20,000 - $40,000"
Middle East,41435,Web Application Developer,,JavaScript,CSS,,,,,C#,,,,,visual basic,"$20,000 - $40,000"
United Kingdom,41310,Web Application Developer,Java,JavaScript,CSS,PHP,Python,,,C#,,,,,,"$20,000 - $40,000"
Other Europe,41310,Web Application Developer,Java,JavaScript,CSS,,,,,C#,,,,,,"$20,000 - $40,000"
United Kingdom,41435,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,"VB, HTML","$20,000 - $40,000"
Africa,41310,Web Application Developer,,,,PHP,,,SQL,,,,,,Visual Basic,"$20,000 - $40,000"
South America,11,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,"ASP, Delphi","$20,000 - $40,000"
Middle East,<2,Web Application Developer,Java,,,,,,,,,,,,,"$20,000 - $40,000"
South America,11,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,,,,,,,"$20,000 - $40,000"
United Kingdom,11,Web Application Developer,,,,,,,,C#,,,,,,"$20,000 - $40,000"
United States of America,41310,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,C#,,,,,,"$20,000 - $40,000"
Other Europe,41435,Web Application Developer,Java,JavaScript,CSS,,,Ruby,SQL,,,,Perl,,,"$20,000 - $40,000"
United Kingdom,41310,Web Application Developer,,JavaScript,,,,,SQL,C#,,,,,,"$20,000 - $40,000"
Other Europe,41435,Web Application Developer,,,,,,,SQL,C#,,,,,,"$20,000 - $40,000"
Other Europe,41310,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,"$20,000 - $40,000"
Mexico,41310,Web Application Developer,,,,,,,,C#,,,,,,"$20,000 - $40,000"
South America,41435,Web Application Developer,Java,,CSS,PHP,Python,Ruby,SQL,,,,,,,"$20,000 - $40,000"
United Kingdom,11,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,C#,,,,,,"$20,000 - $40,000"
United Kingdom,11,Web Application Developer,,,,,,,SQL,C#,,,,,,"$20,000 - $40,000"
Other Asia,41435,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,C#,,,,,"VB .NET, ActionScript","$20,000 - $40,000"
Other Europe,41435,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,"$20,000 - $40,000"
Other Europe,41310,Web Application Developer,Java,JavaScript,CSS,,,,SQL,,,,,,,"$20,000 - $40,000"
Netherlands,41310,Web Application Developer,Java,,,,Python,,SQL,,,,,,,"$20,000 - $40,000"
Other Europe,41310,Web Application Developer,,JavaScript,CSS,,Python,Ruby,,C#,,C,,,,"$20,000 - $40,000"
United States of America,41435,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,C#,,,Perl,,,"$20,000 - $40,000"
Netherlands,41435,Web Application Developer,Java,,,PHP,,,SQL,,,,,,,"$20,000 - $40,000"
Other Europe,41435,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,"$20,000 - $40,000"
United Kingdom,41310,Web Application Developer,Java,JavaScript,CSS,PHP,,,SQL,,,,,,,"$20,000 - $40,000"
United States of America,41310,Web Application Developer,Java,JavaScript,CSS,PHP,Python,,SQL,,,,,,,"$20,000 - $40,000"
Germany,11,Web Application Developer,,JavaScript,,PHP,Python,,SQL,,,C,Perl,,Klingon,"$20,000 - $40,000"
Other Europe,41310,Web Application Developer,,,,,,,,,,C,,,lua,"$20,000 - $40,000"
India,41435,Web Application Developer,,JavaScript,CSS,PHP,,,,,,,,,,"$20,000 - $40,000"
Middle East,<2,Web Application Developer,,JavaScript,CSS,PHP,,Ruby,SQL,C#,,,,,,"$20,000 - $40,000"
Germany,11,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,,,,Perl,,"Turbo Pascal 5.5 (no, seriously)","$20,000 - $40,000"
United Kingdom,41435,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,,,,,,,"$20,000 - $40,000"
Africa,41435,Web Application Developer,,JavaScript,CSS,,Python,,SQL,C#,C++,C,,,,"$20,000 - $40,000"
United States of America,41310,Web Application Developer,,JavaScript,,PHP,,,SQL,,C++,,,,Objective-C,"$20,000 - $40,000"
France,41435,Web Application Developer,,JavaScript,CSS,PHP,Python,,SQL,,,,Perl,,,"$20,000 - $40,000"
United States of America,41310,Web Application Developer,,,CSS,PHP,,Ruby,SQL,,C++,C,Perl,,"LabVIEW, MatLab","$20,000 - $40,000"
United States of America,41310,Web Application Developer,,JavaScript,,,,,,,,,,,,"$20,000 - $40,000"
Germany,11,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,C#,C++,C,,,X3D,"$20,000 - $40,000"
Other Europe,11,Web Application Developer,,JavaScript,CSS,PHP,,,,,,,,,Java,"$20,000 - $40,000"
United Kingdom,41310,Web Application Developer,,JavaScript,CSS,,,,,C#,,,,,"VB.NET, HTML","$20,000 - $40,000"
United Kingdom,41310,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,"Java, asp.net","$20,000 - $40,000"
South America,41435,Web Application Developer,,JavaScript,,PHP,,Ruby,SQL,,,C,,,,"$20,000 - $40,000"
South America,41435,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,,"$20,000 - $40,000"
Italy,11,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,,,C,,,"Java, Scheme","$20,000 - $40,000"
Other Europe,41310,Web Application Developer,,JavaScript,CSS,,,,,,,,,,,"$20,000 - $40,000"
Russia,41435,Web Application Developer,,JavaScript,CSS,,,,,C#,,,,,,"$20,000 - $40,000"
Other Europe,11,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,C++,,,,,"$20,000 - $40,000"
Other Europe,41310,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,,,,,,JSP,"$20,000 - $40,000"
France,41310,Web Application Developer,,,,PHP,Python,,,,C++,,,,,"$20,000 - $40,000"
France,41310,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,,C++,,,,,"$20,000 - $40,000"
Other Asia,41435,Web Application Developer,,JavaScript,CSS,PHP,Python,,SQL,C#,,C,Perl,,,"$20,000 - $40,000"
Australia,<2,Web Application Developer,,JavaScript,CSS,,,,,C#,,,,,,"$20,000 - $40,000"
Australia,41310,Web Application Developer,,JavaScript,CSS,,,,SQL,C#,C++,,,,,"$20,000 - $40,000"
Canada,11,Web Application Developer,,JavaScript,CSS,,,,,C#,,,,,,"$20,000 - $40,000"
Germany,41435,Web Application Developer,,JavaScript,CSS,PHP,,,SQL,,,,,,,"$20,000 - $40,000"
Germany,41310,Desktop Application Developer,Java,JavaScript,,,,,,,,,,,Objective-C 2.0,"$20,000 - $40,000"
Africa,41310,Desktop Application Developer,,,,,,,SQL,C#,,,,,,"$20,000 - $40,000"
Other Europe,11,Desktop Application Developer,,,CSS,PHP,Python,,SQL,C#,,,,,VB.NET,"$20,000 - $40,000"
Other Europe,11,Desktop Application Developer,Java,,,,,,SQL,,,C,Perl,,,"$20,000 - $40,000"
Canada,41435,Desktop Application Developer,Java,,,,,,,,C++,C,Perl,,Objective-C,"$20,000 - $40,000"
Other Asia,41310,Desktop Application Developer,,,,,Python,,,C#,C++,,,,,"$20,000 - $40,000"
Other Europe,11,Desktop Application Developer,,,,,Python,,SQL,C#,,,,,,"$20,000 - $40,000"
United States of America,41310,Desktop Application Developer,,JavaScript,,PHP,,,SQL,,C++,,,,,"$20,000 - $40,000"
Other Europe,41435,Desktop Application Developer,Java,JavaScript,CSS,PHP,,,SQL,C#,,,,,,"$20,000 - $40,000"
United Kingdom,41310,Desktop Application Developer,Java,JavaScript,CSS,PHP,Python,,SQL,,,,,,,"$20,000 - $40,000"
India,41435,Desktop Application Developer,Java,,,,,Ruby,SQL,C#,C++,C,,,,"$20,000 - $40,000"
South America,<2,Desktop Application Developer,,,CSS,,Python,,,C#,C++,C,,,,"$20,000 - $40,000"
Russia,41435,Desktop Application Developer,Java,,,,,,,C#,,,,,Delphi,"$20,000 - $40,000"
United States of America,11,Desktop Application Developer,,JavaScript,,,Python,,,,C++,,,,,"$20,000 - $40,000"
India,41310,Desktop Application Developer,,,,,,,,C#,,,,,,"$20,000 - $40,000"
Middle East,11,Desktop Application Developer,Java,,,,,,,,C++,C,,,ada,"$20,000 - $40,000"
Other Europe,41310,Desktop Application Developer,,JavaScript,,,,,,C#,C++,C,,,,"$20,000 - $40,000"
Mexico,41310,Desktop Application Developer,,JavaScript,CSS,PHP,,,SQL,C#,,,,,,"$20,000 - $40,000"
South America,41435,Desktop Application Developer,,JavaScript,CSS,,,,SQL,C#,,,,,visual basic,"$20,000 - $40,000"
South America,11,Desktop Application Developer,,,,,,,,,,,,,delphi,"$20,000 - $40,000"
Germany,41310,Desktop Application Developer,Java,,CSS,,Python,,SQL,C#,,,,,,"$20,000 - $40,000"
South America,41310,Desktop Application Developer,Java,,,,,,SQL,,C++,C,,,,"$20,000 - $40,000"
United Kingdom,41310,Desktop Application Developer,,JavaScript,CSS,PHP,,,SQL,,,,,,Delphi,"$20,000 - $40,000"
Other Europe,41435,Desktop Application Developer,Java,JavaScript,,,Python,,,C#,,,,,,"$20,000 - $40,000"
United Kingdom,11,Desktop Application Developer,,JavaScript,,PHP,,,SQL,,C++,,,,,"$20,000 - $40,000"
Other Europe,11,Desktop Application Developer,,,,,,,,,,,,,Delphi,"$20,000 - $40,000"
Netherlands,11,Desktop Application Developer,,JavaScript,CSS,,,,SQL,C#,C++,C,,,"Matlab, AWK, ...","$20,000 - $40,000"
India,41435,Desktop Application Developer,Java,,,,,,,,,C,,,,"$20,000 - $40,000"
Other Asia,41435,Desktop Application Developer,,,,,,,,C#,,,,,,"$20,000 - $40,000"
Other Europe,41435,Desktop Application Developer,,JavaScript,CSS,PHP,,,SQL,,,,,,Delphi,"$20,000 - $40,000"
United States of America,11,Desktop Application Developer,,JavaScript,CSS,,Python,,,,,C,Perl,,Objective C,"$20,000 - $40,000"
Canada,41435,Desktop Application Developer,,JavaScript,CSS,,Python,,SQL,C#,C++,C,,,,"$20,000 - $40,000"
United Kingdom,41310,Desktop Application Developer,,,,PHP,,,SQL,C#,,,,,Delphi,"$20,000 - $40,000"
Netherlands,41310,Desktop Application Developer,,,,,Python,,,,C++,,,,,"$20,000 - $40,000"
Australia,11,Desktop Application Developer,Java,,,,,,SQL,,,,,,VB6,"$20,000 - $40,000"
United Kingdom,11,Desktop Application Developer,Java,,,,,,SQL,,C++,,,,,"$20,000 - $40,000"
France,11,Desktop Application Developer,Java,,,,,,,,C++,C,,,,"$20,000 - $40,000"
United Kingdom,41435,Desktop Application Developer,,,,PHP,,,SQL,,,C,,,objective-c,"$20,000 - $40,000"
Canada,<2,Desktop Application Developer,,,,,,,SQL,C#,,,,,,"$20,000 - $40,000"
South America,41310,Desktop Application Developer,,JavaScript,CSS,,Python,,SQL,,C++,,,,,"$20,000 - $40,000"
Other Europe,11,Desktop Application Developer,,,,,,,,,C++,,,,,"$20,000 - $40,000"
Other Europe,41435,Desktop Application Developer,,JavaScript,,,,Ruby,SQL,,,,,,JAVA,"$20,000 - $40,000"
Other Europe,41310,Desktop Application Developer,,JavaScript,CSS,PHP,,,SQL,,,,,,,"$20,000 - $40,000"
United Kingdom,41310,Desktop Application Developer,,,,,,,,,,,,,Java,"$20,000 - $40,000"
Other Europe,41435,Desktop Application Developer,,,,,,,,C#,C++,C,,,,"$20,000 - $40,000"
United Kingdom,41310,Desktop Application Developer,,,,,,,,C#,,,,,Delphi,"$20,000 - $40,000"
Other Europe,41310,Embedded Application Developer,,,,,Python,,,,C++,C,,,,"$20,000 - $40,000"
Germany,41435,Embedded Application Developer,,,,,,,,,,C,,,Objective-C,"$20,000 - $40,000"
United States of America,11,Embedded Application Developer,,,,PHP,,,SQL,,C++,C,,,,"$20,000 - $40,000"
North America (Other),11,Embedded Application Developer,Java,JavaScript,CSS,,,,SQL,C#,,,,,,"$20,000 - $40,000"
France,41310,Embedded Application Developer,,,,,,,,,C++,C,,,Objective-C,"$20,000 - $40,000"
Other Europe,41435,Embedded Application Developer,Java,,,,,,,,C++,C,,,,"$20,000 - $40,000"
Other Europe,41435,Embedded Application Developer,Java,,,,,Ruby,,,,,,,objective c,"$20,000 - $40,000"
Australia,41310,Embedded Application Developer,Java,,,,Python,,,,C++,C,,,,"$20,000 - $40,000"
South America,11,Embedded Application Developer,,,,,,,,,,,,,objective-c,"$20,000 - $40,000"
United Kingdom,41435,Embedded Application Developer,,JavaScript,,PHP,,,SQL,,,C,,,,"$20,000 - $40,000"
Italy,11,Embedded Application Developer,Java,JavaScript,CSS,,,,SQL,C#,C++,C,,,"Assembler, BASIC","$20,000 - $40,000"
Other Europe,41310,Embedded Application Developer,,,,,,,,C#,,,,,Objective-C,"$20,000 - $40,000"
India,41310,Embedded Application Developer,,,,,,,,,,C,,,,"$20,000 - $40,000"
Other Europe,11,Embedded Application Developer,Java,,CSS,,Python,,SQL,,C++,C,Perl,,Objective-C,"$20,000 - $40,000"
Russia,41310,Embedded Application Developer,Java,,,,,,,,,,,,,"$20,000 - $40,000"
South America,41310,Embedded Application Developer,Java,,,,,,,,,,,,,"$20,000 - $40,000"
Other Europe,41310,Embedded Application Developer,,,,,,,,,,C,,,,"$20,000 - $40,000"
Other Europe,41435,Embedded Application Developer,,,CSS,PHP,Python,,SQL,,,C,,,,"$20,000 - $40,000"
France,41310,Embedded Application Developer,,JavaScript,CSS,PHP,,,SQL,C#,C++,C,,,Objective C,"$20,000 - $40,000"
South America,41435,Embedded Application Developer,,,,,,,,,,C,,,Object Pascal (Delphi),"$20,000 - $40,000"
Other Europe,41310,Embedded Application Developer,Java,JavaScript,CSS,,,,SQL,C#,,,,,,"$20,000 - $40,000"
United Kingdom,<2,Embedded Application Developer,,JavaScript,CSS,PHP,,,,,C++,C,,,objective-c,"$20,000 - $40,000"
Netherlands,41435,IT Staff / System Administrator,Java,,CSS,PHP,Python,,SQL,,,,,,,"$20,000 - $40,000"
Other Europe,11,IT Staff / System Administrator,,,,,Python,,,C#,,,,,,"$20,000 - $40,000"
United Kingdom,41435,IT Staff / System Administrator,,,,PHP,,,,,,C,Perl,,"Lua, SQL","$20,000 - $40,000"
United States of America,41310,IT Staff / System Administrator,,,,,,,SQL,C#,,,,,,"$20,000 - $40,000"
United States of America,41435,IT Staff / System Administrator,,JavaScript,CSS,PHP,,,SQL,,,C,,,Bash,"$20,000 - $40,000"
United States of America,41310,IT Staff / System Administrator,Java,,CSS,PHP,,,SQL,,,,,,,"$20,000 - $40,000"
