string_field_0,string_field_4,string_field_5,string_field_11,string_field_12,string_field_13,string_field_14,string_field_15,string_field_16,string_field_17,string_field_18,string_field_19,string_field_20,string_field_21,string_field_22,string_field_23,string_field_24,string_field_25,string_field_26,string_field_27,string_field_28,string_field_29,string_field_30,string_field_31,string_field_32,string_field_33,string_field_34,string_field_35,string_field_36,string_field_37,string_field_38,string_field_39,string_field_40,string_field_41,string_field_42,string_field_43,string_field_44,string_field_45,string_field_46,string_field_47,string_field_48,string_field_49,string_field_50
Sweden,11+ years,,,,,,,,,,,,,,,,iOS,Java,JavaScript,,,,Node.js,Objective-C,,PHP,Python,,,,,,,,,,,,,,Wordpress,
United Kingdom,11+ years,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
Australia,11+ years,,C,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL Server,,,,,
Finland,11+ years,Back-end web developer,,C++,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,SQL,,,,,,
United States,6 - 10 years,Business intelligence or data warehousing expert,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,Sharepoint,,SQL,SQL Server,,Visual Basic,,,
Canada,11+ years,Desktop developer,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,2 - 5 years,Desktop developer,C,,,C#,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
Germany,11+ years,Desktop developer,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,,,,APL
United Kingdom,6 - 10 years,"Executive (VP of Eng., CTO, CIO, etc.)",,,,,,,Cordova,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,,JavaScript,LAMP,,,,,,PHP,,,,,,,,,,SQL,,,,,Wordpress,
United States,6 - 10 years,Front-end web developer,,,,,,,,,,,,,,,,,JavaScript,LAMP,,,,,,PHP,,,,,,,,,,SQL,,,,,Wordpress,
Denmark,2 - 5 years,Full-stack web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
Australia,6 - 10 years,Full-stack web developer,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,,SQL Server,,,,,
United States,11+ years,Full-stack web developer,C,C++,,,,,,,,,,,,,,,JavaScript,,Matlab,,,,,,,,,Ruby,,,,,,,,,,,,
Sweden,11+ years,Full-stack web developer,,,,C#,,,Cordova,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,SQL Server,,Visual Basic,,,
United States,2 - 5 years,Graphics programmer,,C++,C++11,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,11+ years,Mobile developer - Android,,,,,,,,,,,,,,,iOS,Java,,,,,,Objective-C,,,,,,Ruby,,,,,,SQL,,,,,,
Denmark,1 - 2 years,Data scientist,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,SQL,,,Visual Basic,,,
Germany,2 - 5 years,Desktop developer,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
Finland,11+ years,Desktop developer,,C++,,,,,,,,,,,,,,,,,,,,,Perl,,,,,,,,,,,SQL,SQL Server,,,,,
Sweden,6 - 10 years,DevOps,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,Ruby,,,,,,,,,,,,
Canada,6 - 10 years,Embedded application developer,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,6 - 10 years,Enterprise level services developer,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL Server,,,,,
United Kingdom,11+ years,Enterprise level services developer,,,,C#,,,Cordova,,,,,,,,,,JavaScript,,,,Node.js,,,,,,Redis,,,,,Sharepoint,,SQL,SQL Server,,Visual Basic,Windows Phone,,
United States,11+ years,Enterprise level services developer,,,,C#,,,,,,,,,,,,,,,,,,,Perl,,,,,,,,,,,,,,,,,Powershell
France,1 - 2 years,"Executive (VP of Eng., CTO, CIO, etc.)",,,,,,CoffeeScript,,,,,,,,,,,JavaScript,,,,,,,,Python,,,,,,,,,,,,,,,
United States,6 - 10 years,Full-stack web developer,,,,C#,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,,JavaScript,,,,Node.js,,,,,,,,,,,,,SQL,SQL Server,,Visual Basic,,,
United States,2 - 5 years,Full-stack web developer,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,
Sweden,6 - 10 years,Full-stack web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,
United Arab Emirates,6 - 10 years,Full-stack web developer,,,,,,,,,,,,,,,,Java,JavaScript,LAMP,,,Node.js,,,PHP,Python,,Redis,Ruby,,,,,,SQL,,,Visual Basic,,,
United States,2 - 5 years,Full-stack web developer,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,Scala,,,SQL,,,,,,
United States,2 - 5 years,Mobile developer - Android,,,,C#,,,,,,,,Go,,,,Java,,,,,Node.js,,,PHP,,,,,,,,,,,,,,,,
United States,6 - 10 years,Mobile developer - iOS,,,,,,,,,,,,,,,iOS,,,,,,,Objective-C,,,,,,,,,,,,,,,,,,Applescript
Switzerland,6 - 10 years,Student,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,,,Wordpress,
Germany,11+ years,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,PHP,Python,,,,,,,,,SQL,,,,,,Oracle PL/SQL
Uruguay,11+ years,,,,,,Cassandra,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,Ruby,,,,,,SQL,,,,,,
United States,6 - 10 years,Desktop developer,C,C++,C++11,,,,,,,,,,,,,Java,,,,,,,Perl,,Python,,,,,,,,,SQL,,,,,,
United Kingdom,2 - 5 years,Desktop developer,,,,C#,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,SQL Server,,,,,
United States,2 - 5 years,DevOps,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,,,Visual Basic,,,
Canada,11+ years,Embedded application developer,C,C++,,,,,,,,,,,,,,,JavaScript,,,,,,,,Python,,,,,,,,,,,,,,,
United States,2 - 5 years,Front-end web developer,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,6 - 10 years,Full-stack web developer,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,
Switzerland,11+ years,Full-stack web developer,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,,,,ExtJs
Australia,2 - 5 years,Full-stack web developer,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,,,,,,,
Australia,6 - 10 years,Full-stack web developer,,,,C#,,,,,,,,,,,,,JavaScript,LAMP,,,,,,PHP,,,,,,,,,,SQL,SQL Server,,,,,
France,11+ years,Full-stack web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
Germany,11+ years,Full-stack web developer,,C++,C++11,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,11+ years,Graphics programmer,C,C++,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,6 - 10 years,Graphics programmer,C,C++,C++11,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
Russian Federation,2 - 5 years,Mobile developer - Android,,,,,,,,,,,,,,,,Java,JavaScript,,,,Node.js,,,,,,,,,,,,,,,,,,,
United States,2 - 5 years,Mobile developer - iOS,,,,,,CoffeeScript,,,,,,,,,iOS,,JavaScript,,,,,Objective-C,,,Python,,,,,,,,,,,Swift,,,,
Sweden,11+ years,Mobile developer - iOS,C,,,,,,,,,,,,,,iOS,,,,,,,Objective-C,,,,,,,,,,,,,,Swift,,,,
Israel,11+ years,Product manager,,C++,,C#,,,,,,,,,,,,,,LAMP,,,,,,PHP,,,,,,,,,,SQL,SQL Server,,,,Wordpress,
United States,11+ years,,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,RPG
United Kingdom,11+ years,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL Server,,Visual Basic,,,
United States,2 - 5 years,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,VBA
France,6 - 10 years,,,C++,,,,,,,,,,,,,iOS,Java,,,,,,Objective-C,,,,,,,,,,,,,,,,,,
Spain,11+ years,,,,,,,,Cordova,,,,,,,,iOS,Java,JavaScript,,,,Node.js,Objective-C,,,,R,,,,,,,,,,,,,,
United States,2 - 5 years,Back-end web developer,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,Delphi
Canada,6 - 10 years,Back-end web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,MongoDB,,,,,,,,,,,,Sharepoint,,SQL,SQL Server,,Visual Basic,,,
Israel,6 - 10 years,Back-end web developer,,,,,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,,JavaScript,,,,,,,,Python,,,,,,,,,SQL,,,,,,
Serbia,2 - 5 years,Back-end web developer,,,,,,CoffeeScript,,,,,,Go,,,,,,,,,,,,,Python,,,Ruby,,,,,,,,,,,,
Canada,2 - 5 years,Enterprise level services developer,,,,C#,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
Germany,6 - 10 years,Full-stack web developer,,,,,,,,,,,,,,,iOS,Java,JavaScript,,,,Node.js,Objective-C,,PHP,,,,,,,,,,SQL,,,,,,
United Kingdom,6 - 10 years,Full-stack web developer,,,,C#,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,Go,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
France,11+ years,Full-stack web developer,,,,,,,,,,,,,,,,Java,,,,,,,,,Python,,,,,,,,,,,,,,,
United States,11+ years,Full-stack web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,SQL Server,,,,,
France,1 - 2 years,Mobile developer - Android,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
Canada,2 - 5 years,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,Python,,,,,,,,,,,,,,,
United Kingdom,6 - 10 years,,,,,C#,,,,,,,,,Hadoop,,,,,,,,,,,,Python,R,Redis,,,,,,,,,,,,,
United Kingdom,11+ years,Back-end web developer,,,,,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,Java,,,,,,Objective-C,,,,,Redis,Ruby,,,Scala,,,SQL,,,,,,
United States,11+ years,Back-end web developer,,,,,,,,,,,,Go,,,,,,LAMP,,MongoDB,Node.js,,,PHP,Python,,Redis,Ruby,,Salesforce,,,,,SQL Server,,,,,
United Kingdom,2 - 5 years,Back-end web developer,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,,,,
New Zealand,2 - 5 years,Data scientist,,,,,,,,,,,,,,,,,,,,,,,,,Python,R,,,,,,,,,,,,,,
United States,1 - 2 years,Data scientist,,,,,,,,,,,,,Hadoop,,,Java,,,Matlab,,,,,,Python,R,,,,,,,,SQL,,,,,,
United Kingdom,6 - 10 years,Designer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,,,,,,,
Netherlands,11+ years,Desktop developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Delphi
Germany,6 - 10 years,Desktop developer,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,6 - 10 years,DevOps,,C++,,,,,,,,,,,,Haskell,,,,,,,,,Perl,,Python,,,,,,,,,,,,,,,
Austria,6 - 10 years,Enterprise level services developer,,,,C#,,,,,,,,,,,,Java,,,,MongoDB,,,,,,,,,,,,,,SQL,SQL Server,,,,,
Switzerland,6 - 10 years,Enterprise level services developer,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,SQL,,,,,,
United States,6 - 10 years,Front-end web developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wordpress,
Norway,2 - 5 years,Full-stack web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,,,,Windows Phone,,
N/A,6 - 10 years,Full-stack web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
United States,6 - 10 years,Full-stack web developer,,,,C#,,,Cordova,,,,,,,,iOS,,JavaScript,,,MongoDB,Node.js,,,PHP,,,,,,,,,,SQL,SQL Server,,,Windows Phone,,
Canada,2 - 5 years,Full-stack web developer,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,,,,Ruby,,,,,,,,,,,,
Israel,11+ years,Full-stack web developer,,,,,,CoffeeScript,,,,,,,,,,,JavaScript,,,,,,,,,,,Ruby,,,,,,SQL,,,,,,
United States,1 - 2 years,System administrator,,C++,,,,CoffeeScript,,,,,,,,,,Java,,,Matlab,,,Objective-C,,,,,,,,,,,Spark,,,,,,,
United States,6 - 10 years,,,,,,,,,,,,,,,,iOS,,,,,,,Objective-C,,,,,,,,,,,,,,,,,,
United States,6 - 10 years,Back-end web developer,,,,,,,,,,,,,,,,,JavaScript,,,,,,Perl,PHP,,,,,,,,,,SQL,,,,,,
United Kingdom,6 - 10 years,Back-end web developer,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
India,1 - 2 years,Business intelligence or data warehousing expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
United States,2 - 5 years,Data scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruby,,,,,,,,,,,,FAME
Austria,6 - 10 years,Designer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VHDL
United States,6 - 10 years,Desktop developer,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,,,,,,,
United States,11+ years,Desktop developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,R,,,,,,,,SQL,SQL Server,,,,,
United States,11+ years,Desktop developer,C,C++,C++11,C#,,,,,,,,,,,,,,LAMP,,MongoDB,,,,PHP,,,,,,,,,,SQL,SQL Server,,,,,
Canada,2 - 5 years,Developer with a statistics or mathematics background,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,,,Visual Basic,,,LabView
United Kingdom,6 - 10 years,Embedded application developer,C,C++,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,ARM Assembly
Sweden,11+ years,Embedded application developer,C,,,,,,,,,,,,,,,,,,,,Node.js,,,,,,,,,,,,,,,,,,,
United States,2 - 5 years,Front-end web developer,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,Ruby,,,,,,,,,,,Wordpress,
United States,6 - 10 years,Full-stack web developer,C,C++,,C#,,,,,,,,,,,,Java,JavaScript,,,,,,,,Python,,,,,,,,,,,,,,,
Canada,2 - 5 years,Full-stack web developer,C,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruby,,,,,,,,,,,,
United States,6 - 10 years,Full-stack web developer,,C++,,C#,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,,SQL Server,,,,,
United States,2 - 5 years,Full-stack web developer,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,Python,,,Ruby,,,,,,SQL,,,,,,
Denmark,6 - 10 years,Full-stack web developer,,,,,,CoffeeScript,,,,,,Go,,,,,JavaScript,LAMP,,,,,,PHP,,,,,,,,,,SQL,,,,,Wordpress,
Italy,11+ years,Full-stack web developer,,,,,,,,,,,,,,,,,JavaScript,LAMP,,,,,,PHP,,,,,,,,,,,,,,,Wordpress,
United States,6 - 10 years,Full-stack web developer,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,SQL Server,,,,,
United States,2 - 5 years,Full-stack web developer,,,,,,,,,,,,,,,,Java,JavaScript,,,MongoDB,,,,PHP,,,,,,,,,,SQL,SQL Server,,,,,"ActiveMQ, SOAP, REST,"
United Kingdom,11+ years,Full-stack web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,SQL Server,,Visual Basic,,,
United Kingdom,6 - 10 years,Full-stack web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,SQL Server,,Visual Basic,,,
United States,2 - 5 years,Full-stack web developer,,,,C#,,CoffeeScript,,Clojure,,,,,,,,,JavaScript,,,MongoDB,Node.js,,,,,,Redis,,,,,,,SQL,SQL Server,,,,,
Spain,6 - 10 years,Mobile developer - iOS,,,,,,,,,,,,,,,iOS,,,,,,,Objective-C,,,Python,,,,,,,,,,,,,,,
United States,11+ years,,,,,C#,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,NetLinx
Iceland,11+ years,Back-end web developer,,,,C#,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
Spain,6 - 10 years,Back-end web developer,,,,C#,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,,,,,,,,,,,,,,,,,Sharepoint,,,,,,,,
India,1 - 2 years,Back-end web developer,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,PHP,,,,,,,,,,,,,,,,
Germany,6 - 10 years,Data scientist,,,C++11,,,,,,,,,,,,,,,,Matlab,,,,,,Python,R,,,,,,,,SQL,,,,,,
United States,2 - 5 years,Desktop developer,,C++,C++11,C#,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
United States,2 - 5 years,Desktop developer,,C++,,,,,,,,,,,,,iOS,,,,,,,Objective-C,,,,,,,,,,,,,,Swift,,,,
United Kingdom,6 - 10 years,Desktop developer,C,C++,,,,,,,,,,,Hadoop,,,Java,,,,,,,,,Python,,,,,,,,,,,,,,,OpenCL
Netherlands,2 - 5 years,Developer with a statistics or mathematics background,,,,,,,,,,,,,,,,,,,Matlab,,,,,,,,,,,,,,,SQL,SQL Server,,Visual Basic,,,
United States,11+ years,DevOps,C,C++,,C#,,,,,,,,,,,,Java,JavaScript,LAMP,,,,,,PHP,Python,,,,,,,Sharepoint,,SQL,SQL Server,,Visual Basic,,Wordpress,
United States,2 - 5 years,DevOps,,,,,,,Cordova,,,,,,,,,Java,JavaScript,,,MongoDB,Node.js,,Perl,,Python,,,,,,,,,,,,,,,"Sass, CSS, HTML5"
United States,6 - 10 years,Embedded application developer,C,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,,,,,,ClojureScript
Sweden,11+ years,Enterprise level services developer,,,,,,,,,,,,,,,iOS,Java,,,,,,Objective-C,,,,,,,,,,,,,,,,,,
Thailand,6 - 10 years,"Executive (VP of Eng., CTO, CIO, etc.)",,,,,,,,,,,,,,,,,JavaScript,LAMP,,,,,,PHP,,,,,,,,,,SQL,,,,,Wordpress,MySql
United States,1 - 2 years,Full-stack web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,Visual Basic,,,
United Kingdom,11+ years,Full-stack web developer,,,,C#,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,,,,,,
Australia,6 - 10 years,Full-stack web developer,C,,,,,CoffeeScript,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,iOS,,JavaScript,,,MongoDB,Node.js,Objective-C,,PHP,,,Redis,,,,,,,,,Swift,,,Wordpress,
Germany,11+ years,Full-stack web developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruby,,,,,,,,,,,,
United Kingdom,6 - 10 years,Full-stack web developer,,,,C#,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,,JavaScript,,,,Node.js,,,,,,Redis,Ruby,,,,,,,SQL Server,,,,,
Germany,11+ years,Full-stack web developer,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,
United States,2 - 5 years,Full-stack web developer,,,,,,,,,,,,,,,,Java,JavaScript,LAMP,,,,,,PHP,,,,,,,,,,SQL,,,,,,bash
United States,6 - 10 years,Full-stack web developer,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,Groovy
N/A,11+ years,Mobile developer,,,,,,,,,,,,,,,,Java,JavaScript,,,,Node.js,,,,,,,,,,,,,,,,,,,
United States,6 - 10 years,Mobile developer,C,C++,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,SQL,,,Visual Basic,Windows Phone,,
United States,6 - 10 years,Mobile developer - Android,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
United States,1 - 2 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,
United States,11+ years,,,,,,,,,,,,,,,,,Java,,,,,,,,,Python,,,,,,,,,,,,,,,
United States,2 - 5 years,Business intelligence or data warehousing expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,Visual Basic,,,
United States,6 - 10 years,Data scientist,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,
Australia,6 - 10 years,Data scientist,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,
United States,2 - 5 years,Desktop developer,,C++,,C#,,,,,,,,,,,,Java,,,,,,,,,,,,Ruby,,,,,,SQL,SQL Server,,,,,
United States,2 - 5 years,Developer with a statistics or mathematics background,,,,,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,,JavaScript,,,,,,,,Python,,,,,,,,,SQL,,,,,,
Germany,2 - 5 years,Developer with a statistics or mathematics background,,C++,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
Germany,6 - 10 years,DevOps,,,,,,CoffeeScript,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
United States,2 - 5 years,Enterprise level services developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,Scala,,,,,,,,,
Netherlands,11+ years,"Executive (VP of Eng., CTO, CIO, etc.)",,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
United Kingdom,11+ years,Front-end web developer,,,,,,,,,,,,,,,,,JavaScript,LAMP,,,,,,PHP,,,,,,,,,,SQL,SQL Server,,,,Wordpress,
United States,2 - 5 years,Front-end web developer,,,,,,,,,,,,,,,,,JavaScript,LAMP,,,,,,PHP,,,,,,,,,,SQL,,,,,,
United States,2 - 5 years,Full-stack web developer,,,,,,CoffeeScript,,,,,,,,,,,JavaScript,,,,Node.js,,,,,,,Ruby,,,,,,SQL,,,,,,
United Kingdom,2 - 5 years,Full-stack web developer,,,,,,,,,,,,,,,,,JavaScript,LAMP,,,,,,PHP,,,,,,,,,,,,,,,,
United States,6 - 10 years,Full-stack web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,Sharepoint,,SQL,,,,,,
Spain,2 - 5 years,Full-stack web developer,,,,,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,,JavaScript,,,MongoDB,Node.js,,,PHP,,,,,,,,,,SQL,,,,,,
United States,2 - 5 years,Full-stack web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,Python,,,,,,,,,SQL,SQL Server,,Visual Basic,,,
Belgium,2 - 5 years,Full-stack web developer,,,,,,CoffeeScript,,,,,,,,,,,JavaScript,,,MongoDB,Node.js,,,,Python,,,,,,Scala,,,,,,,,,
Ireland {Republic},6 - 10 years,Full-stack web developer,,,,,,,Cordova,,,,,,,,,Java,JavaScript,,,,,,,,Python,,,,,,,,,SQL,,,,,,
United Kingdom,2 - 5 years,Full-stack web developer,,,,,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,,JavaScript,,,MongoDB,Node.js,,Perl,,,,Redis,,,,,,,,,,,,,
India,11+ years,Mobile developer - iOS,,,,C#,,,,,,,,,,Haskell,iOS,Java,,,,,,Objective-C,,,,,,,,,,,,SQL,SQL Server,,,,,
Germany,2 - 5 years,Product manager,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,Python,,,,,,,,,SQL,SQL Server,,,,,Ember.js
France,11+ years,System administrator,,,,,,,,,,,,,,,,,,,,,,,Perl,PHP,,,,,,,,,,,,,,,,"bash, awk"
United States,11+ years,System administrator,C,,,,,,,,,,,,,,,,JavaScript,,,,,,,,Python,,,,,,,,,,,,,,,
United States,11+ years,,,,,,,,,,,Dart,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
United States,6 - 10 years,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,
Tunisia,6 - 10 years,Back-end web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
Sweden,6 - 10 years,Back-end web developer,,,,,,,,,,,,,,Haskell,,Java,,,,,,,,,,,,,,,Scala,,,,,,,,,Groovy
United States,6 - 10 years,Desktop developer,C,C++,,,,,,,,,,,,,,Java,,,,,,,,,Python,,,,,,,,,,,,,,,
Sweden,11+ years,Desktop developer,,C++,C++11,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
Croatia,2 - 5 years,Desktop developer,C,C++,,C#,,,,,,,,,,,iOS,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,Visual Basic,,,
United Kingdom,6 - 10 years,Embedded application developer,,C++,,,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,,,,,,
Ireland {Republic},6 - 10 years,Enterprise level services developer,,,,C#,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,SQL Server,,,,,
Germany,11+ years,Enterprise level services developer,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,Ruby,,,,,,SQL,,,,,,
Sweden,11+ years,Full-stack web developer,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,PHP,Python,,,,,,,,,,,,,,,
United Kingdom,1 - 2 years,Full-stack web developer,,C++,,C#,,CoffeeScript,,Clojure,,,,Go,,Haskell,,Java,JavaScript,LAMP,,MongoDB,Node.js,Objective-C,,,Python,,,Ruby,Rust,,,,,SQL,,,,,,
Austria,6 - 10 years,Full-stack web developer,,C++,C++11,,,,,,,,,,,,,,,,,MongoDB,,,,,Python,,,,,,,,,,,,,,,
United States,2 - 5 years,Full-stack web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,,,,,,
United States,6 - 10 years,Full-stack web developer,,,,,,,,,,,,,,,iOS,Java,JavaScript,,,MongoDB,Node.js,Objective-C,,,Python,,,,,,,,,SQL,,Swift,,,,
United States,2 - 5 years,Full-stack web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
United States,1 - 2 years,Full-stack web developer,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,
Sweden,11+ years,Mobile developer - iOS,,,,,,,,,,,,,,,iOS,Java,JavaScript,,,,,Objective-C,,,,,,Ruby,,,,,,,,,,,,
Germany,6 - 10 years,Product manager,,,,C#,,,,,,,,,,,,Java,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,,,,
