string_field_0,string_field_4,string_field_6,string_field_55,string_field_56,string_field_57,string_field_58,string_field_59,string_field_60,string_field_61,string_field_62,string_field_63,string_field_64,string_field_65,string_field_66,string_field_67,string_field_68,string_field_69,string_field_100
United States of America,Finance / Banking,Other,,,,,,,,,,,,,,SQL,Perl,"$60,000 - $80,000"
Canada,Software Products,Other,Don't know,,,C#,Java,,,,,,,Python,,,,"$80,000 - $100,000"
United Kingdom,Consulting,Other,"<$1,000",,,C#,Java,,,,,,,,,SQL,,"$100,000 - $120,000"
Other Europe,Education,Other,Don't know,C,,,Java,JavaScript,jQuery,,,,,,,,,Rather not say
United States of America,Finance / Banking,Other,"$10,001 - $25,000",,,,Java,,,,,,,,,,Clojure,"$120,000 - $140,000"
Other Europe,Foundation / Non-Profit,Other,"$25,001 - $100,000",,,C#,Java,JavaScript,jQuery,JQuery,,,,,,SQL,,"$40,000 - $60,000"
United States of America,Web Services,Other,Don't know,,C++,C#,,,,,,,,,,,,">$140,000"
Germany,Consulting,Other,Don't know,,,,,,,,,,,,,,,"$40,000 - $60,000"
Other Europe,Other,Other,"$1,001 - $5,000",,,C#,Java,,,,,,,Python,Ruby,SQL,,Rather not say
India,Software Products,Other,,,,C#,,JavaScript,jQuery,,,,,,,SQL,,"$20,000 - $40,000"
Netherlands,Software Products,Other,Don't know,,C++,,Java,,,,,,,,,,,"$40,000 - $60,000"
Other Europe,Other,Other,"$25,001 - $100,000",,C++,C#,Java,,,,,,,Python,,,Matlab,"$80,000 - $100,000"
Canada,Consulting,Other,Don't know,,,C#,,,,,,,,,,,,">$140,000"
India,Other,Other,,C,C++,,Java,,,,,Objective-C,,Python,,,,Rather not say
United States of America,Manufacturing,Other,Don't know,,,,,,,,,,,,,SQL,"R, Perl",
India,Software Products,Other,,,,,Java,,,,,,,,,,,"$20,000 - $40,000"
Other Asia,Other,Other,,,,,Java,JavaScript,jQuery,,,,PHP,Python,,,,Rather not say
United States of America,Software Products,Other,Don't know,C,C++,,,,,,,Objective-C,,Python,,,Assembly (x86); C++11,">$140,000"
Germany,Advertising,Other,,,C++,,,,,,,,,Python,,,Bash/sh,"$60,000 - $80,000"
Other Europe,Software Products,Other,Don't know,C,,,,,,,,,,Python,,,,"$20,000 - $40,000"
Other Europe,Education,Other,,,C++,,,,,,,,,,,,,"$100,000 - $120,000"
United States of America,Other,Other,Don't know,,,C#,,JavaScript,jQuery,,,,,,,SQL,,"$40,000 - $60,000"
United States of America,Software Products,Other,"<$1,000",,,,Java,,,,,,,,,,,Student / Unemployed
United States of America,Manufacturing,Other,100001,,,C#,,,,,,,,Python,,,,"$80,000 - $100,000"
United States of America,Web Services,Other,Don't know,,,,Java,JavaScript,jQuery,,,Objective-C,,,,SQL,,"$40,000 - $60,000"
United States of America,Retail,Other,,,,,Java,,,,,,,,Ruby,,scala,"$80,000 - $100,000"
Mexico,Manufacturing,Other,,,,,Java,JavaScript,,,,,PHP,Python,,SQL,,Rather not say
Australia,Other,Other,Don't know,,C++,C#,,,,,,,,,,SQL,,"$100,000 - $120,000"
United States of America,Education,Other,Don't know,,,,,,,,,,,Python,,SQL,matlab,
Middle East,Gaming,Other,Don't know,,,C#,,,,,,,PHP,,,SQL,,Rather not say
France,Consulting,Other,Don't know,,,C#,,JavaScript,jQuery,,,,,,,SQL,,"$60,000 - $80,000"
Other Europe,Consulting,Other,Don't know,,,,Java,,,,,,,,,,,"$60,000 - $80,000"
Netherlands,Software Products,Other,Don't know,,C++,C#,Java,,,,,,,,,SQL,,Rather not say
Germany,Manufacturing,Other,Don't know,,,C#,,,,,,,,,,SQL,VBA,"$60,000 - $80,000"
India,Finance / Banking,Other,,,,,,,,,,,,,,SQL,PL/SQL,"$20,000 - $40,000"
Germany,Foundation / Non-Profit,Other,"$1,001 - $5,000",,,,Java,,,,,,,,,SQL,,"$40,000 - $60,000"
Middle East,Finance / Banking,Other,Don't know,,,,Java,JavaScript,jQuery,,,,,,,SQL,,"$20,000 - $40,000"
Australia,Web Services,Other,"$25,001 - $100,000",,,,,JavaScript,,,,Objective-C,PHP,,,,,">$140,000"
United States of America,Other,Other,Don't know,C,C++,,,,,,,,,Python,,,,
United Kingdom,Other,Other,Don't know,,C++,C#,,JavaScript,jQuery,,,,,,,SQL,".net, silverlight","$40,000 - $60,000"
Other Europe,Manufacturing,Other,Don't know,,,,,,,,,,,,,,matlab,"$40,000 - $60,000"
Other Europe,Consulting,Other,100001,,,,,,,,,,,,,,Mathematica,">$140,000"
United States of America,Other,Other,,,C++,,,,,,,,,Python,,,,
United States of America,Advertising,Other,Don't know,,,C#,,JavaScript,,,,,,Python,,SQL,,"$80,000 - $100,000"
United States of America,Software Products,Other,Don't know,C,C++,,Java,,,,,Objective-C,,,,SQL,,Rather not say
South America,Software Products,Other,,,,C#,,,,,,,,,,SQL,MDX,"<$20,000"
United Kingdom,Other,Other,100001,,,,,,jQuery,,,,PHP,,,SQL,,"$20,000 - $40,000"
United States of America,Education,Other,,C,C++,,,JavaScript,,,,,PHP,Python,,,,Rather not say
France,Software Products,Other,Don't know,,,,Java,JavaScript,,,,,,,,,,Rather not say
Other Europe,Consulting,Other,,,,C#,,,,,,,,,,SQL,,"$40,000 - $60,000"
Canada,Consulting,Other,Don't know,,C++,C#,,,,,,,,,,,,">$140,000"
United States of America,Healthcare,Other,Don't know,,,,,,,,,,,,,SQL,,"$80,000 - $100,000"
Australia,Other,Other,,,,C#,,,,,,,,,,,,
United Kingdom,Web Services,Other,"$1,001 - $5,000",,,,,JavaScript,,,,,PHP,,,,,"$40,000 - $60,000"
United States of America,Software Products,Other,Don't know,,,,,,,,,,,Python,,,,"$80,000 - $100,000"
Germany,Software Products,Other,,C,C++,,Java,JavaScript,,,,,,Python,,,assembly:D,"$40,000 - $60,000"
United Kingdom,Other,Other,"$1,001 - $5,000",,,,,JavaScript,jQuery,,,,PHP,Python,,SQL,,"$20,000 - $40,000"
India,Software Products,Other,,C,C++,,Java,,,,,,,,,,,
Italy,Consulting,Other,Don't know,C,C++,C#,Java,JavaScript,jQuery,,,,PHP,,,SQL,"COBOL, OracleForms, Lisp, Delphi, Visual Basic, PERL","$40,000 - $60,000"
United States of America,Software Products,Other,Don't know,,C++,,Java,JavaScript,,,,,,,,SQL,,"$40,000 - $60,000"
United Kingdom,Foundation / Non-Profit,Other,Don't know,,,C#,Java,JavaScript,jQuery,,,,,,,SQL,,"$80,000 - $100,000"
Middle East,Consulting,Other,Don't know,,,,,JavaScript,jQuery,,,,,,,,PHP,
United States of America,Other,Other,Don't know,,C++,C#,,,,,,,,,,,vhdl,Rather not say
United States of America,Software Products,Other,,C,,,,,,,,Objective-C,,,Ruby,,,"$120,000 - $140,000"
United States of America,Gaming,Other,,C,C++,C#,,,,,,,,Python,,SQL,,">$140,000"
United Kingdom,Other,Other,,,,,,JavaScript,,,,,PHP,,,SQL,,"$40,000 - $60,000"
United Kingdom,Other,Other,"$25,001 - $100,000",,,C#,,JavaScript,jQuery,,,,,,,SQL,,"$40,000 - $60,000"
Australia,Gaming,Other,"$1,001 - $5,000",,,,Java,JavaScript,,,,,PHP,,,SQL,,Rather not say
United States of America,Other,Other,100001,,,,,,,,,,,,,SQL,COBOL,"$100,000 - $120,000"
United States of America,Finance / Banking,Other,Don't know,,C++,,,,,,,,,,,,Perl R,"$80,000 - $100,000"
Canada,Education,Student,"<$1,000",,,,,,,,,,,Python,,,,Student / Unemployed
United States of America,Other,Student,Don't know,,,,,,,,,,,Python,,SQL,OpenCL,Student / Unemployed
India,Gaming,Student,"<$1,000",C,C++,C#,,,,,,,,,,,,Student / Unemployed
Other Asia,Web Services,Student,,C,C++,,,JavaScript,jQuery,JQuery,,,PHP,,,SQL,YII,"<$20,000"
India,Software Products,Student,,,,,,JavaScript,jQuery,,,,,,,SQL,abap,
United States of America,Other,Student,,,,C#,,JavaScript,,,,,,,,SQL,CSLA,Rather not say
United States of America,Education,Student,Don't know,,,,,,,,,Objective-C,,Python,,,"haskell, emacs-lisp",Student / Unemployed
France,Software Products,Student,Don't know,,,,Java,,,,,,,,,,,Student / Unemployed
United Kingdom,Web Services,Student,Don't know,,,,,JavaScript,jQuery,,,,PHP,,,,,"<$20,000"
United Kingdom,Education,Student,,,C++,C#,Java,JavaScript,jQuery,,,,PHP,,,SQL,,Student / Unemployed
United States of America,Education,Student,"$10,001 - $25,000",C,C++,,,JavaScript,jQuery,,,,,Python,,,,"<$20,000"
Canada,Other,Student,,,,,Java,,,,,Objective-C,,,,,Powershell,"$20,000 - $40,000"
Other Europe,Education,Student,,C,,,Java,,,,,,,,,SQL,,Student / Unemployed
India,Other,Student,,C,C++,,,,,,,,,,,,,Student / Unemployed
Canada,Other,Student,"$1,001 - $5,000",C,C++,,,,,,,,,Python,,,,"$20,000 - $40,000"
United States of America,Web Services,Student,Don't know,,,,Java,JavaScript,jQuery,,,,,Python,,SQL,coldfusion,Student / Unemployed
Other Europe,Software Products,Student,Don't know,C,,C#,Java,,,,,,,,,SQL,,Student / Unemployed
United States of America,Education,Student,"$10,001 - $25,000",,C++,,Java,,,,,,,Python,,,,Student / Unemployed
Canada,Other,Student,"$25,001 - $100,000",,,,Java,JavaScript,jQuery,,,,PHP,,,SQL,"HTML, CSS",Rather not say
Australia,Education,Student,,,,,Java,JavaScript,jQuery,,Node.js,,PHP,Python,,SQL,,
South America,Web Services,Student,Don't know,,C++,C#,Java,JavaScript,jQuery,,,,PHP,,,SQL,,Student / Unemployed
United States of America,Software Products,Student,,,C++,C#,,JavaScript,,,,,,,,,,"<$20,000"
Other Europe,Software Products,Student,,,C++,,Java,,,,,,,,,,,Student / Unemployed
United States of America,Web Services,Student,"<$1,000",,,,,,,,,,,,Ruby,,,Rather not say
Australasia,Education,Student,"$1,001 - $5,000",,,C#,,JavaScript,jQuery,,,Objective-C,PHP,,,SQL,,Rather not say
France,Education,Student,Don't know,,,,,,,,,,,Python,,,,Student / Unemployed
Germany,Other,Student,,C,C++,,Java,,,,,,,Python,,,Haskell,Student / Unemployed
India,Other,Student,,C,C++,,,JavaScript,jQuery,,,,,,,,,Student / Unemployed
United Kingdom,Other,Student,"<$1,000",C,C++,,,,,,,,,Python,,,,Student / Unemployed
Germany,Other,Student,,,,,Java,,,,,,,,,SQL,,Student / Unemployed
Other Europe,Software Products,Student,,,,C#,Java,,,,,,,,,,,
Other Europe,Software Products,Student,Don't know,,C++,,,JavaScript,jQuery,,Node.js,,,,,SQL,,Student / Unemployed
United States of America,Software Products,Student,,,,,Java,,,,,,,,,SQL,,"$40,000 - $60,000"
United States of America,Healthcare,Student,100001,,,,Java,,,,,Objective-C,,,Ruby,,,">$140,000"
Other Europe,Foundation / Non-Profit,Student,,C,,,Java,JavaScript,jQuery,,,,PHP,,,SQL,,Student / Unemployed
Germany,Manufacturing,Student,Don't know,C,C++,C#,Java,JavaScript,jQuery,,Node.js,Objective-C,,Python,,,,Student / Unemployed
India,Software Products,Student,,C,C++,C#,Java,JavaScript,jQuery,,,,PHP,,,SQL,,"<$20,000"
India,Education,Student,,,C++,,Java,,,,,,,Python,,,perl,
Other Europe,Foundation / Non-Profit,Student,,C,C++,,Java,,jQuery,,,,PHP,Python,,SQL,Assembler,Student / Unemployed
United States of America,Other,Student,,,,,,JavaScript,,,,,,,Ruby,,"Scala, Nimrod",Student / Unemployed
Australia,Web Services,Student,,,C++,C#,Java,JavaScript,jQuery,,,,,Python,Ruby,SQL,,Student / Unemployed
Other Europe,Manufacturing,Student,Don't know,C,,C#,Java,,,,,,,,,,,Student / Unemployed
Germany,Foundation / Non-Profit,Student,,,,,Java,,,,,,,Python,,,SML,"<$20,000"
India,Software Products,Student,,,,C#,Java,,jQuery,,,,,,,SQL,,
United States of America,Other,Student,"<$1,000",C,,,,,,,,,,Python,Ruby,SQL,r,"<$20,000"
Germany,Education,Student,,,,,Java,,,,,,PHP,Python,,,,Student / Unemployed
United Kingdom,Education,Student,,,C++,C#,Java,,,,,,,,,,f#,Student / Unemployed
United States of America,Web Services,Student,"<$1,000",,,,,JavaScript,jQuery,JQuery,,,,Python,,,,Student / Unemployed
Other Europe,Other,Student,,,,,,JavaScript,jQuery,,Node.js,Objective-C,,Python,,,Haskell,Student / Unemployed
Other Europe,Other,Student,"$1,001 - $5,000",C,,,,,,,,,,,,,"perl, octave","$40,000 - $60,000"
Italy,Education,I don't work in tech,"<$1,000",,,,,JavaScript,,,,,,Python,,,,"<$20,000"
United States of America,Finance / Banking,I don't work in tech,Don't know,,C++,C#,,JavaScript,jQuery,,,,,Python,,SQL,,Rather not say
Other Asia,Other,I don't work in tech,"$1,001 - $5,000",,,,,JavaScript,jQuery,,,,,,Ruby,,,"$40,000 - $60,000"
Australia,Healthcare,I don't work in tech,,,,,,,,,,,,,,SQL,R,"$80,000 - $100,000"
United States of America,Other,I don't work in tech,,,C++,,Java,,,,,,PHP,,,,,
United States of America,Education,I don't work in tech,"$1,001 - $5,000",,,,,,,,,Objective-C,,,,,,"$80,000 - $100,000"
Netherlands,Healthcare,I don't work in tech,,,C++,,,,,,,,,,,,R,"$80,000 - $100,000"
United States of America,Other,I don't work in tech,,,C++,,,JavaScript,,,,,PHP,,,,,Student / Unemployed
United States of America,Retail,I don't work in tech,,,,,,,,,,Objective-C,,,,SQL,,"$40,000 - $60,000"
United States of America,Other,I don't work in tech,"<$1,000",,,C#,,,,,,,,,,,,"$20,000 - $40,000"
United States of America,Software Products,I don't work in tech,Don't know,,C++,,,JavaScript,,,,,,Python,Ruby,,,"$100,000 - $120,000"
United States of America,Manufacturing,I don't work in tech,,,,,,,,,,,,,,,,"$20,000 - $40,000"
Germany,Education,I don't work in tech,"$10,001 - $25,000",,,,,,,,,,,Python,,,R,"$60,000 - $80,000"
United States of America,Other,I don't work in tech,,,,,,JavaScript,jQuery,,,,PHP,,,SQL,,"$20,000 - $40,000"
Germany,Finance / Banking,I don't work in tech,,,,,,,,,,,,Python,,,APL,"$60,000 - $80,000"
Other Europe,Other,I don't work in tech,,,C++,C#,,JavaScript,jQuery,,,,,,,SQL,,"$20,000 - $40,000"
South America,Education,I don't work in tech,,C,,,,JavaScript,,,,,PHP,,,,,"<$20,000"
United Kingdom,Software Products,I don't work in tech,"<$1,000",,,,Java,,,,,,PHP,,,SQL,,Student / Unemployed
France,Web Services,Back-End Web Developer,"$1,001 - $5,000",,,,,JavaScript,jQuery,,,,PHP,,,SQL,,"$20,000 - $40,000"
Other Europe,Software Products,Back-End Web Developer,Don't know,,,,Java,,,,,,,,,,,"$20,000 - $40,000"
United States of America,Web Services,Back-End Web Developer,"$25,001 - $100,000",,,C#,,JavaScript,jQuery,,,,PHP,,,SQL,,"$60,000 - $80,000"
India,Advertising,Back-End Web Developer,,,,,Java,,,,,,,,,SQL,,
Other Europe,Web Services,Back-End Web Developer,"<$1,000",,,C#,,JavaScript,,,,,,,,,,"<$20,000"
Germany,Finance / Banking,Back-End Web Developer,Don't know,,,,Java,,,,,,,,,,go,"$60,000 - $80,000"
United Kingdom,Software Products,Back-End Web Developer,Don't know,C,C++,,,JavaScript,jQuery,,,,PHP,Python,,SQL,BASH,"$20,000 - $40,000"
United Kingdom,Software Products,Back-End Web Developer,,,,C#,,,jQuery,,,,,,,SQL,,"$40,000 - $60,000"
Africa,Software Products,Back-End Web Developer,,,,C#,Java,JavaScript,jQuery,,,,,,,SQL,,"<$20,000"
Other Europe,Consulting,Back-End Web Developer,Don't know,,,C#,Java,JavaScript,jQuery,,,,,Python,,SQL,,"$60,000 - $80,000"
Middle East,Software Products,Back-End Web Developer,Don't know,,,,,JavaScript,,,Node.js,,,,,,,"$60,000 - $80,000"
Other Europe,Consulting,Back-End Web Developer,"$25,001 - $100,000",,,C#,,JavaScript,,,,,,,,SQL,,"$60,000 - $80,000"
United States of America,Web Services,Back-End Web Developer,Don't know,,C++,,Java,,,,,,,,,SQL,,">$140,000"
India,Web Services,Back-End Web Developer,"<$1,000",,C++,,,JavaScript,jQuery,,,,PHP,Python,,SQL,,Rather not say
India,Web Services,Back-End Web Developer,"<$1,000",,,,,JavaScript,jQuery,JQuery,,Objective-C,PHP,,,SQL,,"<$20,000"
Netherlands,Software Products,Back-End Web Developer,Don't know,,,C#,,JavaScript,,,,,,,,,Delphi,"$40,000 - $60,000"
Canada,Software Products,Back-End Web Developer,"$1,001 - $5,000",C,,,Java,JavaScript,,,,,PHP,,,SQL,,"$80,000 - $100,000"
Canada,Web Services,Back-End Web Developer,100001,C,C++,,,JavaScript,jQuery,,,,PHP,,,,MySQL,"$40,000 - $60,000"
Other Europe,Software Products,Back-End Web Developer,Don't know,,,,,JavaScript,jQuery,,,,PHP,,Ruby,SQL,,"$20,000 - $40,000"
India,Web Services,Back-End Web Developer,,,,,Java,,,,,Objective-C,,,,SQL,,
India,Finance / Banking,Back-End Web Developer,Don't know,,,C#,,,,,,,,,,SQL,,"<$20,000"
United States of America,Web Services,Back-End Web Developer,,,,,Java,JavaScript,jQuery,,,,PHP,,,SQL,,"<$20,000"
Other Asia,Advertising,Back-End Web Developer,"<$1,000",,,,,JavaScript,jQuery,,,,,Python,,,,"$20,000 - $40,000"
United Kingdom,Web Services,Back-End Web Developer,Don't know,,,,,JavaScript,jQuery,,,,PHP,Python,,SQL,,"$40,000 - $60,000"
India,Software Products,Back-End Web Developer,,,,,Java,JavaScript,,,,,,Python,,SQL,,"$20,000 - $40,000"
Australasia,Other,Back-End Web Developer,Don't know,,,,Java,,,,,,,Python,,SQL,,"$60,000 - $80,000"
Canada,Web Services,Back-End Web Developer,Don't know,,,,,JavaScript,jQuery,,,,PHP,,,SQL,,"$60,000 - $80,000"
Netherlands,Web Services,Back-End Web Developer,Don't know,C,,,,JavaScript,,,,,PHP,,,SQL,,"$20,000 - $40,000"
Other Europe,Other,Back-End Web Developer,,,,,,JavaScript,jQuery,,,,,,,SQL,VB.NET,"$20,000 - $40,000"
Germany,Software Products,Back-End Web Developer,Don't know,,,C#,Java,JavaScript,jQuery,,,,,,,SQL,,"$40,000 - $60,000"
Other Europe,Consulting,Back-End Web Developer,Don't know,,,C#,,JavaScript,jQuery,,,,,,,SQL,,"$80,000 - $100,000"
United Kingdom,Web Services,Back-End Web Developer,Don't know,,,,,JavaScript,,JQuery,,,PHP,,,SQL,,Rather not say
Germany,Web Services,Back-End Web Developer,"<$1,000",,C++,,Java,,,,,,,,,,,"$80,000 - $100,000"
United States of America,Finance / Banking,Back-End Web Developer,Don't know,C,C++,C#,Java,JavaScript,,,Node.js,,,,,SQL,,"$80,000 - $100,000"
United Kingdom,Web Services,Back-End Web Developer,,,,C#,,JavaScript,jQuery,,,,,,,SQL,asp,"<$20,000"
United Kingdom,Web Services,Back-End Web Developer,,,,,Java,,,,,,,,,,perl,"$40,000 - $60,000"
Other Europe,Software Products,Back-End Web Developer,,,,,Java,,,,,,,,,SQL,,"$20,000 - $40,000"
United States of America,Software Products,Back-End Web Developer,,C,,,,JavaScript,jQuery,,,,PHP,,,SQL,,"$40,000 - $60,000"
India,Consulting,Back-End Web Developer,Don't know,,,,Java,JavaScript,,,,,PHP,,Ruby,SQL,,"<$20,000"
Other Europe,Retail,Back-End Web Developer,"<$1,000",,,,Java,,,,,,,,,SQL,,"$20,000 - $40,000"
India,Web Services,Back-End Web Developer,"$1,001 - $5,000",,,,,JavaScript,,,,,PHP,,,SQL,,"<$20,000"
Other Europe,Web Services,Back-End Web Developer,,,,,,,jQuery,,,,PHP,,,SQL,,"$20,000 - $40,000"
Canada,Education,Back-End Web Developer,Don't know,,,C#,,,,,,,,,,SQL,,"$80,000 - $100,000"
Canada,Software Products,Back-End Web Developer,,,,,Java,,,,,,,,,,,"$60,000 - $80,000"
Other Asia,Web Services,Back-End Web Developer,Don't know,,C++,,,JavaScript,,,,,,Python,,,Lua,"<$20,000"
United States of America,Software Products,Back-End Web Developer,,,,,Java,JavaScript,jQuery,JQuery,,,,,,,,"$40,000 - $60,000"
United Kingdom,Software Products,Back-End Web Developer,Don't know,,,C#,,JavaScript,jQuery,,,,,,,,,"$20,000 - $40,000"
Other Asia,Software Products,Back-End Web Developer,,,,,Java,,,,,,,,,,,
United States of America,Software Products,Back-End Web Developer,100001,,,,Java,,,,,,,,,,,"$60,000 - $80,000"
United States of America,Consulting,Back-End Web Developer,Don't know,,,,Java,JavaScript,jQuery,,,,,,,,,"$80,000 - $100,000"
South America,Other,Back-End Web Developer,,,,,Java,,,,,,,,,,"Haskell, Scala",Rather not say
United States of America,Software Products,Back-End Web Developer,"$1,001 - $5,000",,,C#,,,,,,,,,,SQL,"XSLT, XPath, XQuery","$100,000 - $120,000"
Other Asia,Web Services,Back-End Web Developer,,,,,Java,JavaScript,,,,,PHP,,,SQL,,Rather not say
India,Software Products,Back-End Web Developer,,,,,Java,,jQuery,,,,,,,,,"$20,000 - $40,000"
South America,Software Products,Back-End Web Developer,Don't know,C,C++,,,,,,,,PHP,,Ruby,SQL,,"$20,000 - $40,000"
Other Europe,Web Services,Back-End Web Developer,Don't know,C,C++,,,JavaScript,jQuery,,Node.js,,PHP,,,SQL,,Rather not say
United States of America,Software Products,Back-End Web Developer,"<$1,000",,,C#,,,jQuery,JQuery,,,PHP,,,SQL,,"$40,000 - $60,000"
Russia,Web Services,Back-End Web Developer,,,C++,C#,,,,,,,,,Ruby,,Erlang,"<$20,000"
Russia,Finance / Banking,Back-End Web Developer,Don't know,,,C#,,,,,,,,,,,,"<$20,000"
Other Europe,Manufacturing,Back-End Web Developer,,,,,Java,JavaScript,jQuery,,,,,,,,,"$40,000 - $60,000"
Australia,Consulting,Back-End Web Developer,Don't know,,,C#,,JavaScript,jQuery,,,,,Python,,SQL,CoffeeScript,"$20,000 - $40,000"
United States of America,Software Products,Back-End Web Developer,Don't know,,,C#,,,,,,,,,,,,"$80,000 - $100,000"
Australasia,Web Services,Back-End Web Developer,"$1,001 - $5,000",,,C#,,,,,,,,,,SQL,,"$20,000 - $40,000"
Italy,Software Products,Back-End Web Developer,,,,,Java,JavaScript,jQuery,,,,,,,,,"$20,000 - $40,000"
Russia,Manufacturing,Back-End Web Developer,,,,,Java,,,,,,,,,SQL,Semantic web,Rather not say
United States of America,Consulting,Back-End Web Developer,Don't know,,,C#,,JavaScript,jQuery,,,,,,,SQL,,"$40,000 - $60,000"
Middle East,Web Services,Back-End Web Developer,100001,C,C++,C#,Java,JavaScript,jQuery,,,Objective-C,PHP,,,SQL,,"<$20,000"
Netherlands,Software Products,Back-End Web Developer,"<$1,000",,,C#,,,,,,,,,,,"PL/SQL, WPF",Student / Unemployed
Other Europe,Consulting,Back-End Web Developer,,,C++,C#,Java,,,,,,,,,SQL,,"$60,000 - $80,000"
United States of America,Software Products,Back-End Web Developer,,,,C#,,JavaScript,jQuery,,,,PHP,,,SQL,VB.NET,"$20,000 - $40,000"
United Kingdom,Retail,Back-End Web Developer,Don't know,,,C#,,,,,,,,,,SQL,,"$60,000 - $80,000"
Other Europe,Web Services,Back-End Web Developer,,,,,Java,,,,,Objective-C,,,,SQL,,"<$20,000"
United States of America,Other,Back-End Web Developer,,,C++,C#,,JavaScript,jQuery,JQuery,,,,Python,,SQL,,"$60,000 - $80,000"
Middle East,Software Products,Back-End Web Developer,Don't know,,C++,,Java,,,,,,,Python,,,,"$80,000 - $100,000"
Other Europe,Consulting,Back-End Web Developer,,,,C#,,JavaScript,jQuery,,,,,,,,,"<$20,000"
India,Software Products,Back-End Web Developer,"<$1,000",,,,,JavaScript,jQuery,,,,PHP,,,,,Rather not say
South America,Web Services,Back-End Web Developer,,,,,Java,JavaScript,jQuery,,,,,,,SQL,,"$20,000 - $40,000"
United States of America,Other,Back-End Web Developer,Don't know,,,,Java,,,,,,,Python,,,,"$100,000 - $120,000"
South America,Other,Back-End Web Developer,"$1,001 - $5,000",C,C++,,Java,,,,,,,,,,,
United Kingdom,Web Services,Back-End Web Developer,,C,,,Java,JavaScript,jQuery,,Node.js,,,Python,,SQL,SAS,"$40,000 - $60,000"
Russia,Retail,Back-End Web Developer,,,C++,C#,Java,JavaScript,jQuery,,,,,Python,,SQL,,"<$20,000"
United States of America,Retail,Back-End Web Developer,,,,,Java,JavaScript,,,,Objective-C,PHP,Python,,SQL,Lisp,"$60,000 - $80,000"
India,Finance / Banking,Back-End Web Developer,"$1,001 - $5,000",,,,,JavaScript,jQuery,JQuery,,,,Python,,SQL,,"<$20,000"
United States of America,Web Services,Back-End Web Developer,,,,,,JavaScript,,,,,PHP,,,SQL,,"$40,000 - $60,000"
Other Europe,Software Products,Back-End Web Developer,,,,,Java,,,,,,,Python,,,clojure,"$20,000 - $40,000"
Other Europe,Web Services,Back-End Web Developer,Don't know,,,C#,Java,JavaScript,jQuery,,,,PHP,,,SQL,,"$60,000 - $80,000"
India,Other,Back-End Web Developer,,,,,,,jQuery,,,,PHP,,,SQL,,Rather not say
Netherlands,Finance / Banking,Back-End Web Developer,"$1,001 - $5,000",,,C#,,,,,,,,,,SQL,,"$40,000 - $60,000"
United States of America,Web Services,Back-End Web Developer,Don't know,,C++,,Java,JavaScript,,,Node.js,Objective-C,PHP,,,,,">$140,000"
Other Europe,Web Services,Back-End Web Developer,"$25,001 - $100,000",,,,,JavaScript,jQuery,,,,PHP,,,SQL,MongoDB,"$40,000 - $60,000"
Africa,Finance / Banking,Back-End Web Developer,,,,,Java,,,,,,,,,SQL,"ZK, RPGLE","<$20,000"
United Kingdom,Web Services,Back-End Web Developer,Don't know,,,,,JavaScript,jQuery,,,,PHP,,,,,
United States of America,Education,Back-End Web Developer,,,,,Java,JavaScript,jQuery,,,,,,,SQL,,"$40,000 - $60,000"
United States of America,Education,Back-End Web Developer,,,,,,,jQuery,,,Objective-C,PHP,,Ruby,SQL,,"$20,000 - $40,000"
United Kingdom,Software Products,Back-End Web Developer,"$10,001 - $25,000",C,C++,C#,Java,,,,,Objective-C,,Python,,,,"$80,000 - $100,000"
Other Europe,Web Services,Back-End Web Developer,"<$1,000",C,C++,,,JavaScript,jQuery,,,,PHP,,,SQL,,"$100,000 - $120,000"
Italy,Software Products,Back-End Web Developer,Don't know,,,,,JavaScript,jQuery,,,,,Python,,SQL,,"$60,000 - $80,000"
Canada,Web Services,Back-End Web Developer,100001,,,,Java,JavaScript,,,,,,Python,Ruby,SQL,,"$60,000 - $80,000"
Germany,Web Services,Back-End Web Developer,,,,,,JavaScript,jQuery,,,,PHP,,,,,"$20,000 - $40,000"
United Kingdom,Web Services,Back-End Web Developer,Don't know,,,,,JavaScript,jQuery,,,,PHP,,,SQL,,Rather not say
India,Web Services,Back-End Web Developer,"$1,001 - $5,000",C,C++,C#,Java,JavaScript,jQuery,JQuery,Node.js,,PHP,,,SQL,,Rather not say
United States of America,Web Services,Back-End Web Developer,,,,,Java,,,,,,,,,,Perl,
Germany,Software Products,Back-End Web Developer,Don't know,,,,Java,JavaScript,jQuery,,,,,,,,,"$60,000 - $80,000"
United States of America,Foundation / Non-Profit,Back-End Web Developer,Don't know,,C++,C#,,JavaScript,jQuery,,,,,,,SQL,,"$60,000 - $80,000"
Canada,Other,Back-End Web Developer,"<$1,000",,,C#,,JavaScript,jQuery,,,,PHP,,,SQL,,"$80,000 - $100,000"
South America,Advertising,Back-End Web Developer,Don't know,,,,Java,JavaScript,jQuery,,,,,Python,,SQL,,"$40,000 - $60,000"
India,Finance / Banking,Back-End Web Developer,Don't know,,,C#,,,,,,,,,,SQL,,"<$20,000"
Germany,Software Products,Back-End Web Developer,"$1,001 - $5,000",,C++,,,,,,,,PHP,,,,,Rather not say
Middle East,Software Products,Back-End Web Developer,Don't know,,,,Java,,,,,,,,,SQL,Jython,
United States of America,Retail,Back-End Web Developer,"$10,001 - $25,000",,,C#,,,jQuery,,,,,,,SQL,,"$80,000 - $100,000"
