string_field_0,string_field_5,string_field_6,string_field_7,string_field_42,string_field_43,string_field_44,string_field_45,string_field_46,string_field_47,string_field_48,string_field_49,string_field_50,string_field_51,string_field_52,string_field_53
India,6/10/2014,Back-End Web Developer,"$20,000 - $40,000",,,,Java,JavaScript,,,PHP,,,SQL,
Netherlands,2/5/2014,Back-End Web Developer,"<$20,000",C,,,Java,JavaScript,Node.js,,,Python,,,
Canada,11,Back-End Web Developer,"$120,000 - $140,000",,,,Java,,,,,,,SQL,Perl
Austria,<2,Back-End Web Developer,Rather not say,,,,,JavaScript,,,,,Ruby,SQL,
United States,6/10/2014,Back-End Web Developer,"$100,000 - $120,000",,,C#,,JavaScript,,,,,,SQL,
United States,2/5/2014,Back-End Web Developer,"$20,000 - $40,000",,,C#,,JavaScript,,,PHP,,,SQL,
Germany,<2,Back-End Web Developer,Rather not say,,,,,,,,,,Ruby,,
India,2/5/2014,Back-End Web Developer,"<$20,000",,,,Java,JavaScript,,,,,,SQL,
Australia,2/5/2014,Back-End Web Developer,"$40,000 - $60,000",,,,Java,JavaScript,,,,,,SQL,PowerShell
Germany,2/5/2014,Back-End Web Developer,"$40,000 - $60,000",,,,Java,JavaScript,,,,Python,,,"Grails, Groovy"
France,2/5/2014,Back-End Web Developer,"$40,000 - $60,000",,,,,,,,PHP,,,,"Go, MongoDB"
United Kingdom,6/10/2014,Back-End Web Developer,Rather not say,,,,Java,JavaScript,Node.js,Objective-C,,,,SQL,
Italy,6/10/2014,Back-End Web Developer,"$20,000 - $40,000",,,,Java,JavaScript,,,,,,,
United States,2/5/2014,Back-End Web Developer,"$20,000 - $40,000",,,C#,,JavaScript,Node.js,,,,,SQL,
Netherlands,6/10/2014,Back-End Web Developer,"$60,000 - $80,000",,,,Java,JavaScript,,,,,,SQL,BPM
Norway,11,Back-End Web Developer,"$60,000 - $80,000",,,C#,,,,,,,,,
Poland,<2,Back-End Web Developer,"<$20,000",,,,,,,,,,Ruby,,
United States,2/5/2014,Back-End Web Developer,"$80,000 - $100,000",,,,,,,,,Python,,SQL,
India,2/5/2014,Back-End Web Developer,"<$20,000",,,,,JavaScript,,,PHP,,,SQL,
India,2/5/2014,Back-End Web Developer,,,,,Java,JavaScript,,,,,,,
Poland,6/10/2014,Back-End Web Developer,"<$20,000",,,C#,,,,,,,,SQL,
Switzerland,6/10/2014,Back-End Web Developer,"$80,000 - $100,000",,,,Java,JavaScript,,,PHP,,,,
United Kingdom,6/10/2014,Back-End Web Developer,"$80,000 - $100,000",,,C#,,,,,,,,SQL,
Germany,6/10/2014,Back-End Web Developer,"$60,000 - $80,000",,,,Java,,,,,,,,
India,2/5/2014,Back-End Web Developer,"<$20,000",,,,,JavaScript,,,PHP,,,SQL,
India,6/10/2014,Back-End Web Developer,"$20,000 - $40,000",,,,Java,,,,,,,SQL,
United States,<2,Back-End Web Developer,,,,,,JavaScript,,,PHP,Python,,,
United States,11,Back-End Web Developer,"$80,000 - $100,000",,,,,JavaScript,,,PHP,,,SQL,
United States,<2,Back-End Web Developer,"$20,000 - $40,000",,,,Java,JavaScript,,,,,Ruby,SQL,
United Kingdom,6/10/2014,Back-End Web Developer,"$60,000 - $80,000",,,C#,Java,JavaScript,,,,,,,
Spain,6/10/2014,Back-End Web Developer,"$20,000 - $40,000",C,,,,JavaScript,Node.js,,PHP,Python,,SQL,
Japan,11,Back-End Web Developer,"$80,000 - $100,000",,,,Java,JavaScript,Node.js,Objective-C,PHP,,Ruby,,
France,6/10/2014,Back-End Web Developer,"$40,000 - $60,000",,,C#,Java,,,,,,,,Guys you forget scala in exciting techno. shame on you
Norway,11,Back-End Web Developer,"$100,000 - $120,000",,,,Java,JavaScript,,,,,,,
Switzerland,6/10/2014,Back-End Web Developer,"$80,000 - $100,000",,,C#,,JavaScript,,,,,,,
India,6/10/2014,Back-End Web Developer,Rather not say,,,C#,,JavaScript,,,,,,SQL,VB.Net
United States,6/10/2014,Back-End Web Developer,"$80,000 - $100,000",,,,Java,JavaScript,,,,,,SQL,
Turkey,2/5/2014,Back-End Web Developer,Rather not say,C,,,,,,,,,,SQL,
Greece,2/5/2014,Back-End Web Developer,"<$20,000",,,,Java,JavaScript,,,PHP,,,SQL,
United States,11,Back-End Web Developer,Rather not say,,,,Java,,,,,Python,,SQL,"R, Pig, shell scripting (Bash, Powershell)"
Switzerland,11,Back-End Web Developer,"$100,000 - $120,000",,,,Java,,,,,Python,,SQL,Scala
United States,2/5/2014,Back-End Web Developer,"$120,000 - $140,000",,,,,JavaScript,,,,Python,,,
Canada,6/10/2014,Back-End Web Developer,"$60,000 - $80,000",,,C#,,JavaScript,Node.js,,PHP,Python,,SQL,
Brazil,6/10/2014,Back-End Web Developer,"<$20,000",,,C#,,JavaScript,,,,,,SQL,
United Kingdom,11,Back-End Web Developer,"$60,000 - $80,000",,,C#,,JavaScript,Node.js,,,,,SQL,VB.NET
Australia,11,Back-End Web Developer,"$40,000 - $60,000",,,,,,,,PHP,,,,
India,11,Back-End Web Developer,"$20,000 - $40,000",,,,Java,JavaScript,,,PHP,Python,,,Go
Pakistan,6/10/2014,Back-End Web Developer,"$20,000 - $40,000",,,C#,Java,JavaScript,,Objective-C,,,,SQL,
Ukraine,2/5/2014,Back-End Web Developer,"<$20,000",,,,Java,,,,,,,,
Germany,2/5/2014,Back-End Web Developer,"$40,000 - $60,000",,,,Java,JavaScript,,,,,,SQL,
Egypt,2/5/2014,Back-End Web Developer,"<$20,000",,,,,JavaScript,,,PHP,,,SQL,
Poland,<2,Back-End Web Developer,Student / Unemployed,,,C#,,JavaScript,,,,,,SQL,
Russia,11,Back-End Web Developer,"<$20,000",,,,,JavaScript,Node.js,,PHP,,,,
India,2/5/2014,Back-End Web Developer,"<$20,000",,,,,,,,,,,SQL,
Poland,11,Back-End Web Developer,"$80,000 - $100,000",,,,Java,,,,,,,,Scala
United States,11,Back-End Web Developer,"$100,000 - $120,000",,,,,,,,,,Ruby,SQL,
United States,11,Back-End Web Developer,"$60,000 - $80,000",,,C#,,JavaScript,,,PHP,,,,
United States,11,Back-End Web Developer,"$100,000 - $120,000",,,C#,,JavaScript,,,,,,,
United Kingdom,2/5/2014,Back-End Web Developer,Rather not say,,,,,JavaScript,,,PHP,,,,
Israel,2/5/2014,Back-End Web Developer,"$60,000 - $80,000",C,C++,C#,Java,,,,,,,,Bash script and Batch script
Poland,2/5/2014,Back-End Web Developer,"<$20,000",,,,,JavaScript,,,,Python,,SQL,
Poland,11,Back-End Web Developer,"$20,000 - $40,000",,,,Java,,,,,,,SQL,Scala
Denmark,2/5/2014,Back-End Web Developer,"$40,000 - $60,000",,,,,,,,,,Ruby,SQL,
India,2/5/2014,Back-End Web Developer,"$100,000 - $120,000",C,C++,,Java,,,,,,,,perl
United Kingdom,6/10/2014,Back-End Web Developer,"$60,000 - $80,000",,,C#,,JavaScript,Node.js,,,,,SQL,
Bangladesh,2/5/2014,Back-End Web Developer,"<$20,000",,C++,,Java,,,,,Python,,SQL,
United Kingdom,2/5/2014,Back-End Web Developer,,,,C#,,JavaScript,,,,,,,
Sweden,6/10/2014,Back-End Web Developer,,,,C#,,JavaScript,Node.js,,,,,SQL,"SSIS, classic asp, VB"
India,<2,Back-End Web Developer,"<$20,000",C,,,Java,,,,,Python,,,
Germany,6/10/2014,Back-End Web Developer,"$60,000 - $80,000",,,C#,Java,JavaScript,,,,,,,SCala
Germany,6/10/2014,Back-End Web Developer,"$60,000 - $80,000",,,,,,,,PHP,,,SQL,
Greece,6/10/2014,Back-End Web Developer,"$20,000 - $40,000",,,C#,Java,JavaScript,,,,,Ruby,SQL,
China,6/10/2014,Back-End Web Developer,"$40,000 - $60,000",C,,,,,,,PHP,Python,,,
Germany,6/10/2014,Back-End Web Developer,,,,,Java,JavaScript,,,,,,SQL,
United States,11,Back-End Web Developer,"$120,000 - $140,000",,,,Java,,,,,Python,,SQL,Go
United States,6/10/2014,Back-End Web Developer,"$100,000 - $120,000",,,C#,,JavaScript,,,,,,SQL,
Sweden,11,Back-End Web Developer,Rather not say,C,,,,JavaScript,,,,Python,,SQL,
China,6/10/2014,Back-End Web Developer,"$20,000 - $40,000",,,,Java,,,,,,,SQL,
United States,6/10/2014,Back-End Web Developer,">$140,000",,,,,JavaScript,,,,Python,,SQL,
France,2/5/2014,Back-End Web Developer,"$20,000 - $40,000",,,,Java,JavaScript,,,,,,,Scala
United States,2/5/2014,Back-End Web Developer,"$20,000 - $40,000",,,,,JavaScript,,,,,,SQL,"Lua, ASP"
Israel,2/5/2014,Back-End Web Developer,"$120,000 - $140,000",,C++,,Java,,,,PHP,,,SQL,
Turkey,6/10/2014,Back-End Web Developer,"<$20,000",,C++,C#,,JavaScript,,,PHP,,,SQL,
United States,<2,Back-End Web Developer,Rather not say,,,,,JavaScript,,,,Python,,SQL,
Poland,11,Back-End Web Developer,"$20,000 - $40,000",,,,,JavaScript,Node.js,,PHP,,,SQL,
United Kingdom,6/10/2014,Back-End Web Developer,"$80,000 - $100,000",,,,,,,,,Python,Ruby,SQL,
United States,2/5/2014,Back-End Web Developer,"$120,000 - $140,000",C,C++,,,,,,,Python,,,
United States,2/5/2014,Back-End Web Developer,Rather not say,,,,,JavaScript,Node.js,,,,,,
Germany,2/5/2014,Back-End Web Developer,"$60,000 - $80,000",,,,Java,,,,,,,,
United Kingdom,2/5/2014,Back-End Web Developer,Student / Unemployed,,,,Java,JavaScript,,Objective-C,,,,SQL,
United Kingdom,11,Back-End Web Developer,"$60,000 - $80,000",,,,,JavaScript,,,,Python,,SQL,Bash
United States,2/5/2014,Back-End Web Developer,"$80,000 - $100,000",,,C#,,JavaScript,,,,,,SQL,
Bulgaria,2/5/2014,Back-End Web Developer,"<$20,000",,,,,,,,PHP,,,,
United States,11,Back-End Web Developer,"$80,000 - $100,000",,,,Java,,,,,,,SQL,
United States,11,Back-End Web Developer,"$80,000 - $100,000",,,C#,Java,JavaScript,,,PHP,,,SQL,
United Kingdom,6/10/2014,Back-End Web Developer,"$60,000 - $80,000",,,,Java,,,,,,,SQL,perl
Hungary,6/10/2014,Back-End Web Developer,Rather not say,,,,Java,JavaScript,,,PHP,,,SQL,
United States,11,Back-End Web Developer,,,,C#,Java,,,,,,,,Scala
Israel,2/5/2014,Back-End Web Developer,"$40,000 - $60,000",,,,,JavaScript,,,PHP,Python,,,
United States,6/10/2014,Back-End Web Developer,"$120,000 - $140,000",,,,Java,JavaScript,,,,,Ruby,SQL,
India,6/10/2014,Back-End Web Developer,"$20,000 - $40,000",,,C#,Java,,,,,,,SQL,
Canada,2/5/2014,Back-End Web Developer,"$80,000 - $100,000",,,,,JavaScript,,,,Python,,,
Ukraine,2/5/2014,Back-End Web Developer,"$20,000 - $40,000",,,,,JavaScript,,,PHP,,,SQL,
Denmark,11,Back-End Web Developer,"$100,000 - $120,000",,,C#,,JavaScript,,,,,,SQL,Delphi/Pascal
Hungary,2/5/2014,Back-End Web Developer,"$20,000 - $40,000",,C++,,,,,,,Python,,,Perl
Turkey,6/10/2014,Back-End Web Developer,"$60,000 - $80,000",C,,C#,,JavaScript,,,,Python,,,
United Kingdom,11,Back-End Web Developer,"$60,000 - $80,000",,,C#,,JavaScript,,,,,,,JQ
India,2/5/2014,Back-End Web Developer,Rather not say,,,,,JavaScript,,,PHP,,,,"MySQL, HTML, CSS, jQuery"
Chile,6/10/2014,Back-End Web Developer,"<$20,000",,,C#,Java,JavaScript,,,PHP,,,SQL,"HTML, CSS, Cakephp, Visual Basic"
Poland,6/10/2014,Back-End Web Developer,Rather not say,,,,,JavaScript,,,,Python,,,Go
Russia,6/10/2014,Back-End Web Developer,"$20,000 - $40,000",,,,,JavaScript,,,,Python,,,
Canada,11,Back-End Web Developer,"$80,000 - $100,000",,,C#,Java,,,,,Python,,,
United States,6/10/2014,Back-End Web Developer,">$140,000",,,,Java,,,,PHP,,,SQL,
New Zealand,6/10/2014,Back-End Web Developer,"$40,000 - $60,000",,,,Java,JavaScript,,,,,,,
India,<2,Back-End Web Developer,Rather not say,C,C++,,Java,,,,,,,SQL,
Ireland,11,Back-End Web Developer,"$80,000 - $100,000",,C++,,,,,,,Python,,,
United Kingdom,11,Back-End Web Developer,"$80,000 - $100,000",,,,,JavaScript,,,PHP,,,SQL,Bash
India,<2,Back-End Web Developer,"<$20,000",,,,,JavaScript,Node.js,,,,,,
Belgium,11,Back-End Web Developer,Rather not say,,,,Java,,,,,,,SQL,
Malta,2/5/2014,Back-End Web Developer,"$20,000 - $40,000",,,C#,Java,JavaScript,,,,,,SQL,
India,2/5/2014,Back-End Web Developer,"<$20,000",,,,,JavaScript,,,PHP,,,SQL,
United Kingdom,11,Back-End Web Developer,"$60,000 - $80,000",,,C#,,,,,,,,,
Belarus,6/10/2014,Back-End Web Developer,Rather not say,,,C#,,JavaScript,,,,,Ruby,SQL,
India,<2,Back-End Web Developer,"<$20,000",,,,Java,JavaScript,,,PHP,,,SQL,
United States,2/5/2014,Back-End Web Developer,"$80,000 - $100,000",,,C#,,,,,,,Ruby,SQL,
Australia,2/5/2014,Back-End Web Developer,"$80,000 - $100,000",,,,,,,,,,Ruby,,
United Kingdom,6/10/2014,Back-End Web Developer,"$80,000 - $100,000",,,C#,,JavaScript,,,,,,,
Russia,6/10/2014,Back-End Web Developer,Rather not say,,,,Java,,,,,Python,,,
Georgia,6/10/2014,Back-End Web Developer,"<$20,000",,,,,JavaScript,,,PHP,,,SQL,
Canada,6/10/2014,Back-End Web Developer,"$80,000 - $100,000",,,C#,,JavaScript,,,PHP,,,SQL,
United States,11,Back-End Web Developer,"$80,000 - $100,000",,,,,JavaScript,,,,,Ruby,SQL,
Finland,6/10/2014,Back-End Web Developer,"$60,000 - $80,000",,C++,C#,Java,JavaScript,,,,,Ruby,,
Germany,<2,Back-End Web Developer,"$20,000 - $40,000",,,,,JavaScript,,,,,Ruby,SQL,
Germany,6/10/2014,Back-End Web Developer,,,,,Java,JavaScript,,,,,,,XQuery
United States,6/10/2014,Back-End Web Developer,"$40,000 - $60,000",,,C#,,JavaScript,,,,,,SQL,
United States,11,Back-End Web Developer,"$80,000 - $100,000",,,,,,,,,Python,,SQL,
Israel,11,Back-End Web Developer,"$20,000 - $40,000",,,,,JavaScript,,,PHP,Python,,SQL,
United Kingdom,11,Back-End Web Developer,">$140,000",,,,Java,,,,,,,SQL,
United States,11,Back-End Web Developer,"$100,000 - $120,000",,,,Java,,,,,,,,
United Kingdom,2/5/2014,Back-End Web Developer,"$40,000 - $60,000",,,,,JavaScript,,,PHP,,,SQL,
Poland,6/10/2014,Back-End Web Developer,Rather not say,,,C#,,,,,,,,,
Chile,2/5/2014,Back-End Web Developer,,,,,Java,,,,,Python,Ruby,,
United States,2/5/2014,Back-End Web Developer,"$80,000 - $100,000",,,,Java,,,,,,Ruby,,
Sweden,11,Back-End Web Developer,"$80,000 - $100,000",C,C++,C#,,,,,,,,,
India,2/5/2014,Back-End Web Developer,"<$20,000",,,,,,,,,,,SQL,
Sweden,11,Back-End Web Developer,"$60,000 - $80,000",,,,,,,,,Python,,SQL,PL/SQL
France,2/5/2014,Back-End Web Developer,"$40,000 - $60,000",,,,,JavaScript,,,PHP,,,SQL,
New Zealand,11,Back-End Web Developer,Rather not say,,,,Java,,,,,,,,
Germany,11,Back-End Web Developer,">$140,000",,,C#,Java,JavaScript,,,,,,SQL,
Romania,<2,Back-End Web Developer,Rather not say,,,,Java,JavaScript,,,PHP,,,SQL,
Italy,6/10/2014,Back-End Web Developer,"<$20,000",,,C#,Java,JavaScript,,,,,,SQL,
India,6/10/2014,Back-End Web Developer,"$40,000 - $60,000",,,C#,,JavaScript,,,,,Ruby,,
Israel,6/10/2014,Back-End Web Developer,"$40,000 - $60,000",,,C#,,JavaScript,,,,,,SQL,
France,2/5/2014,Back-End Web Developer,"$40,000 - $60,000",,,C#,,JavaScript,,,,,,SQL,
Austria,6/10/2014,Back-End Web Developer,"$40,000 - $60,000",,,C#,Java,,,,,Python,,,
Germany,6/10/2014,Back-End Web Developer,Student / Unemployed,,,,Java,JavaScript,,,,,,SQL,
United States,6/10/2014,Back-End Web Developer,"$120,000 - $140,000",,,,,,,,,,Ruby,SQL,
United States,11,Back-End Web Developer,"$100,000 - $120,000",,C++,C#,,,,,,Python,,SQL,
Pakistan,6/10/2014,Back-End Web Developer,"<$20,000",,,C#,Java,JavaScript,,,,,,,
United States,6/10/2014,Back-End Web Developer,"$80,000 - $100,000",,C++,C#,Java,JavaScript,,,PHP,,,SQL,
United States,11,Back-End Web Developer,">$140,000",,,,Java,JavaScript,,,,,,,scala
India,2/5/2014,Back-End Web Developer,"<$20,000",,,,,JavaScript,,,PHP,,,SQL,
United States,11,Back-End Web Developer,">$140,000",,,,Java,JavaScript,,,,,,SQL,
United States,11,Back-End Web Developer,"$80,000 - $100,000",,,,Java,,,,,Python,Ruby,SQL,"Scala, Clojure"
United States,11,Back-End Web Developer,">$140,000",,,C#,,JavaScript,,,,,,SQL,
United States,11,Back-End Web Developer,"$80,000 - $100,000",,,,Java,,,,PHP,Python,,SQL,
France,11,Back-End Web Developer,"$100,000 - $120,000",,,,Java,,,,,,,SQL,
Norway,11,Back-End Web Developer,"$60,000 - $80,000",C,C++,,,,,,,Python,,SQL,
United Kingdom,6/10/2014,Back-End Web Developer,"$40,000 - $60,000",C,C++,C#,Java,JavaScript,Node.js,,PHP,,Ruby,SQL,
India,2/5/2014,Back-End Web Developer,"<$20,000",,,,,,,,PHP,,,,
Germany,11,Back-End Web Developer,Student / Unemployed,C,,,Java,JavaScript,,,PHP,,,SQL,
Belgium,2/5/2014,Back-End Web Developer,"$20,000 - $40,000",,,C#,,JavaScript,,,,,,SQL,
India,<2,Back-End Web Developer,Rather not say,,,C#,Java,JavaScript,,,,,,,
Czech Republic,11,Back-End Web Developer,"$40,000 - $60,000",,,C#,,JavaScript,,,,,,SQL,
United States,11,Back-End Web Developer,"$120,000 - $140,000",,C++,,Java,,,,,,Ruby,,
Switzerland,11,Back-End Web Developer,"$120,000 - $140,000",,C++,,Java,,,,,,,SQL,
Argentina,11,Back-End Web Developer,Rather not say,C,C++,,Java,JavaScript,,,,,,SQL,
Sweden,6/10/2014,Back-End Web Developer,"$40,000 - $60,000",,,,Java,JavaScript,,,,Python,,SQL,
United States,6/10/2014,Back-End Web Developer,"$100,000 - $120,000",,,C#,,JavaScript,,,,,,SQL,
United Kingdom,6/10/2014,Back-End Web Developer,"$100,000 - $120,000",,,,Java,,,,,,,,
Canada,11,Back-End Web Developer,"$40,000 - $60,000",,,,,JavaScript,,,PHP,,,SQL,Perl
United States,11,Back-End Web Developer,"$20,000 - $40,000",,,,,JavaScript,Node.js,,,,,,
France,2/5/2014,Back-End Web Developer,"$60,000 - $80,000",,,,Java,JavaScript,,,,,,,
United States,6/10/2014,Back-End Web Developer,"$60,000 - $80,000",,,,,JavaScript,,,,,Ruby,SQL,
Germany,2/5/2014,Back-End Web Developer,"$40,000 - $60,000",,,,Java,,,,,,,,
Pakistan,2/5/2014,Back-End Web Developer,Student / Unemployed,,,,Java,,,,PHP,,,SQL,
United States,2/5/2014,Back-End Web Developer,"$80,000 - $100,000",,,,Java,,,,,Python,,,
United Kingdom,6/10/2014,Back-End Web Developer,"$100,000 - $120,000",,,C#,,JavaScript,,,,,,,
United States,11,Back-End Web Developer,">$140,000",C,,,,JavaScript,,,PHP,,,SQL,
United States,6/10/2014,Back-End Web Developer,"$80,000 - $100,000",,,,Java,JavaScript,,,,,,SQL,ColdFusion
Brazil,6/10/2014,Back-End Web Developer,"$40,000 - $60,000",,,C#,,JavaScript,,,,,,,
Other,2/5/2014,Back-End Web Developer,,C,,,,JavaScript,,,,Python,,SQL,
Poland,6/10/2014,Back-End Web Developer,"<$20,000",,,C#,,,,Objective-C,,Python,,,
Turkey,6/10/2014,Back-End Web Developer,"$20,000 - $40,000",,,,Java,JavaScript,,,,,,,
Peru,2/5/2014,Back-End Web Developer,"$20,000 - $40,000",,,,,,,,,Python,,SQL,
Indonesia,2/5/2014,Back-End Web Developer,Rather not say,,,,,JavaScript,Node.js,,PHP,Python,Ruby,SQL,
Belarus,6/10/2014,Back-End Web Developer,"$20,000 - $40,000",,,,Java,,,,,Python,,,Clojure
United States,6/10/2014,Back-End Web Developer,"$40,000 - $60,000",,C++,C#,,JavaScript,,,PHP,,,SQL,
Georgia,2/5/2014,Back-End Web Developer,"<$20,000",,,C#,Java,JavaScript,,,PHP,,,SQL,
Russia,11,Back-End Web Developer,Rather not say,,,C#,Java,,,,,,,,
Iran,6/10/2014,Back-End Web Developer,"<$20,000",,,,,JavaScript,Node.js,,PHP,,,SQL,
France,11,Back-End Web Developer,"$120,000 - $140,000",,,,,,,,,,,SQL,Perl
United States,2/5/2014,Back-End Web Developer,,,,,Java,JavaScript,,,,Python,,SQL,
United States,2/5/2014,Back-End Web Developer,,,,,,JavaScript,,,PHP,,,,
United States,6/10/2014,Back-End Web Developer,,,,C#,,JavaScript,,,,,Ruby,SQL,
Spain,6/10/2014,Back-End Web Developer,"$40,000 - $60,000",,,,Java,,,,,,,,
Belgium,6/10/2014,Back-End Web Developer,"$20,000 - $40,000",,,C#,,JavaScript,,,,,,SQL,
Canada,6/10/2014,Back-End Web Developer,Rather not say,,,,Java,JavaScript,,,PHP,,,SQL,
Canada,6/10/2014,Back-End Web Developer,"$60,000 - $80,000",,,,,JavaScript,,,PHP,,,SQL,
Ukraine,6/10/2014,Back-End Web Developer,"$40,000 - $60,000",C,C++,,,,,,,Python,,,"Go, Redis, MongoDB"
Sweden,6/10/2014,Back-End Web Developer,"$40,000 - $60,000",,,,Java,JavaScript,,,,Python,,SQL,plsql
Italy,11,Back-End Web Developer,"$60,000 - $80,000",,,,Java,,,,,Python,,,
United States,11,Back-End Web Developer,"$80,000 - $100,000",,,C#,,JavaScript,,,,,,SQL,
India,2/5/2014,Back-End Web Developer,"<$20,000",,,,Java,JavaScript,,,,,,,
United States,6/10/2014,Back-End Web Developer,Rather not say,C,C++,,,,,,,Python,,,
Israel,6/10/2014,Back-End Web Developer,"$80,000 - $100,000",,,C#,,,,,,,,SQL,
Germany,6/10/2014,Back-End Web Developer,Rather not say,,,,,,Node.js,,PHP,Python,,,
Germany,6/10/2014,Back-End Web Developer,"$60,000 - $80,000",,,,Java,,,,,,,,
Slovakia,2/5/2014,Back-End Web Developer,"$20,000 - $40,000",,,,,,,,PHP,Python,,SQL,
India,2/5/2014,Back-End Web Developer,"$40,000 - $60,000",,,C#,,,,,,,,,
France,11,Back-End Web Developer,"$40,000 - $60,000",,,C#,,JavaScript,,,,,,SQL,
India,<2,Back-End Web Developer,Rather not say,,,C#,,,,,,,,,
United Kingdom,6/10/2014,Back-End Web Developer,"$80,000 - $100,000",,,,,JavaScript,Node.js,,PHP,Python,,SQL,Go
Canada,6/10/2014,Back-End Web Developer,"$60,000 - $80,000",,,C#,,JavaScript,,,,,,,
United States,11,Back-End Web Developer,"$100,000 - $120,000",,,C#,,JavaScript,,,,,,SQL,
United States,2/5/2014,Back-End Web Developer,,,,,Java,,,,,,,,scala
Germany,6/10/2014,Back-End Web Developer,"$60,000 - $80,000",,C++,,,,,,,Python,,,Haskell (in spare time)
New Zealand,11,Back-End Web Developer,"$100,000 - $120,000",,,C#,Java,JavaScript,,,,,,SQL,
United States,11,Back-End Web Developer,"$60,000 - $80,000",,,,,,,,,,,SQL,Scala
United Kingdom,11,Back-End Web Developer,">$140,000",,,,Java,,,,,Python,,,
Malaysia,11,Back-End Web Developer,Rather not say,,,,Java,,,,,,,,
Spain,11,Back-End Web Developer,"$20,000 - $40,000",,,C#,,,,,,,,SQL,
France,2/5/2014,Back-End Web Developer,Student / Unemployed,,,,,,,,,,,,
Austria,6/10/2014,Back-End Web Developer,"$40,000 - $60,000",,,C#,,JavaScript,,,,,,,
Germany,2/5/2014,Back-End Web Developer,"$60,000 - $80,000",,,,Java,JavaScript,,,,,Ruby,SQL,
Germany,11,Back-End Web Developer,"$80,000 - $100,000",,,,,,,,PHP,,,,
United States,11,Back-End Web Developer,">$140,000",,C++,,,,Node.js,,PHP,,,,
New Zealand,11,Back-End Web Developer,Rather not say,,,C#,,,,,,,,,
United States,11,Back-End Web Developer,"$100,000 - $120,000",,,,,JavaScript,,,,,Ruby,,Scala
South Africa,6/10/2014,Back-End Web Developer,,,C++,,Java,,,,,,,,
United Kingdom,11,Back-End Web Developer,">$140,000",,,C#,,,,,,,,SQL,
Denmark,11,Back-End Web Developer,">$140,000",,,C#,,JavaScript,,,,,,,F#
United States,11,Back-End Web Developer,">$140,000",,,,Java,JavaScript,,,,Python,,SQL,
United States,11,Back-End Web Developer,"$80,000 - $100,000",,,,,JavaScript,,,PHP,,,SQL,
United States,11,Back-End Web Developer,">$140,000",,C++,,Java,JavaScript,,,,Python,,,
Netherlands,6/10/2014,Back-End Web Developer,"$60,000 - $80,000",,,,,JavaScript,,,PHP,Python,,SQL,
United States,6/10/2014,Back-End Web Developer,"$80,000 - $100,000",,,,,JavaScript,,,,Python,,SQL,
Netherlands,11,Back-End Web Developer,"$60,000 - $80,000",,,,Java,JavaScript,Node.js,,,,,,Scala
United States,6/10/2014,Back-End Web Developer,"$60,000 - $80,000",,,C#,,JavaScript,,,,,,SQL,Coffeescript
Hungary,11,Back-End Web Developer,"<$20,000",C,C++,,,JavaScript,,,PHP,,,SQL,
United States,2/5/2014,Back-End Web Developer,"$120,000 - $140,000",,C++,,Java,,,,,Python,,,"Scala, Pig"
Germany,11,Back-End Web Developer,"$80,000 - $100,000",,,,Java,,,,,,,SQL,
United States,2/5/2014,Back-End Web Developer,"$100,000 - $120,000",,,,Java,JavaScript,,,,,,SQL,
United Kingdom,11,Back-End Web Developer,"$100,000 - $120,000",,,C#,Java,JavaScript,,,,,,SQL,
Sweden,6/10/2014,Back-End Web Developer,"$100,000 - $120,000",,,C#,,,,,,,,SQL,
United States,11,Back-End Web Developer,"$80,000 - $100,000",,,C#,,JavaScript,,,,,,SQL,
United States,2/5/2014,Back-End Web Developer,"$80,000 - $100,000",,,,Java,JavaScript,,,,Python,Ruby,SQL,
United States,2/5/2014,Back-End Web Developer,"$60,000 - $80,000",,,,Java,,,,,,,SQL,
United Kingdom,11,Back-End Web Developer,"$100,000 - $120,000",,,,Java,JavaScript,,,PHP,,,SQL,
Germany,11,Back-End Web Developer,Rather not say,,C++,,,,,,PHP,,,SQL,
United Kingdom,11,Back-End Web Developer,"$80,000 - $100,000",,,C#,,JavaScript,,,,,,,
United States,11,Back-End Web Developer,"$100,000 - $120,000",,,,Java,,,,PHP,,,SQL,
Brazil,11,Back-End Web Developer,"$60,000 - $80,000",,,C#,,JavaScript,,,,,,,
India,11,Back-End Web Developer,"$40,000 - $60,000",,,,Java,JavaScript,,,PHP,Python,,SQL,
Italy,6/10/2014,Back-End Web Developer,Rather not say,,,,,,,Objective-C,,,Ruby,SQL,
Turkey,<2,Back-End Web Developer,"$20,000 - $40,000",,,C#,,,,,,,,SQL,
Germany,11,Back-End Web Developer,"$60,000 - $80,000",,,,Java,,,,PHP,,,,
Austria,2/5/2014,Back-End Web Developer,"$20,000 - $40,000",,,,Java,JavaScript,,,PHP,,,,
Poland,11,Back-End Web Developer,Rather not say,,,,,JavaScript,,,PHP,,,,
Thailand,<2,Back-End Web Developer,Student / Unemployed,,,,,,,,PHP,,,,
Russia,2/5/2014,Back-End Web Developer,,,,,Java,JavaScript,,,PHP,,,SQL,
United States,2/5/2014,Back-End Web Developer,"$80,000 - $100,000",,,,Java,,,,,,,SQL,
India,2/5/2014,Back-End Web Developer,"<$20,000",,,,Java,JavaScript,Node.js,,,,,,
India,<2,Back-End Web Developer,"<$20,000",C,C++,C#,,JavaScript,,,,,,SQL,
